,ground_J=0,-J_term,M^2,N,J,Delta,ground,index
0,-2.000000000000003,-0.0,0.040000000000000015,10.0,0.0,0.0,-2.000000000000003,1100010001
1024,-2.0000000000000004,-0.2040816326530612,1.0,10.0,0.020408163265306117,0.0,-2.204081632653061,0000000000
2048,-2.000000000000001,-0.4081632653061224,1.0,10.0,0.040816326530612235,0.0,-2.408163265306124,1111111111
3072,-2.0,-0.6122448979591837,1.0,10.0,0.061224489795918366,0.0,-2.612244897959184,0000000000
4096,-2.000000000000001,-0.8163265306122448,1.0,10.0,0.08163265306122447,0.0,-2.816326530612246,0000000000
5120,-2.0000000000000004,-1.020408163265306,1.0,10.0,0.1020408163265306,0.0,-3.0204081632653064,0000000000
6144,-2.0,-1.2244897959183674,1.0,10.0,0.12244897959183673,0.0,-3.224489795918368,0000000000
7168,-2.0000000000000013,-1.4285714285714284,1.0,10.0,0.14285714285714285,0.0,-3.4285714285714297,1111111111
8192,-2.0000000000000004,-1.6326530612244896,1.0,10.0,0.16326530612244894,0.0,-3.6326530612244903,1111111111
9217,-2.000000000000001,-1.8367346938775508,1.0,10.0,0.18367346938775508,0.0,-3.836734693877552,0000000000
10240,-2.0000000000000013,-2.040816326530612,1.0,10.0,0.2040816326530612,0.0,-4.040816326530614,1111111111
11264,-2.000000000000001,-2.2448979591836733,1.0,10.0,0.22448979591836726,0.0,-4.244897959183675,1111111111
12288,-2.0000000000000018,-2.4489795918367347,1.0,10.0,0.24489795918367346,0.0,-4.4489795918367365,1111111111
13312,-2.0000000000000013,-2.653061224489796,1.0,10.0,0.26530612244897955,0.0,-4.653061224489797,1111111111
14336,-2.000000000000001,-2.8571428571428568,1.0,10.0,0.2857142857142857,0.0,-4.8571428571428585,1111111111
15360,-2.0000000000000004,-3.0612244897959178,1.0,10.0,0.3061224489795918,0.0,-5.061224489795919,0000000000
16384,-2.0000000000000027,-3.2653061224489783,1.0,10.0,0.32653061224489793,0.0,-5.265306122448981,1111111111
17408,-2.0000000000000013,-3.4693877551020407,1.0,10.0,0.3469387755102041,0.0,-5.469387755102042,0000000000
18432,-2.0,-3.6734693877551017,1.0,10.0,0.36734693877551017,0.0,-5.6734693877551035,1111111111
19456,-2.0000000000000027,-3.877551020408163,1.0,10.0,0.3877551020408163,0.0,-5.877551020408165,0000000000
20480,-2.0000000000000013,-4.081632653061224,1.0,10.0,0.4081632653061224,0.0,-6.0816326530612255,0000000000
21504,-2.000000000000001,-4.285714285714286,1.0,10.0,0.42857142857142855,0.0,-6.285714285714287,1111111111
22528,-2.0000000000000004,-4.489795918367347,1.0,10.0,0.4489795918367345,0.0,-6.489795918367348,1111111111
23552,-2.0000000000000004,-4.6938775510204085,1.0,10.0,0.4693877551020408,0.0,-6.6938775510204085,0000000000
24576,-2.0,-4.8979591836734695,1.0,10.0,0.4897959183673469,0.0,-6.8979591836734695,1111111111
25600,-2.000000000000001,-5.1020408163265305,1.0,10.0,0.5102040816326531,0.0,-7.102040816326531,1111111111
26624,-2.0000000000000013,-5.306122448979592,1.0,10.0,0.5306122448979591,0.0,-7.306122448979592,0000000000
27648,-2.0000000000000013,-5.5102040816326525,1.0,10.0,0.5510204081632653,0.0,-7.510204081632653,0000000000
