,ground_J=0,-J_term,M^2,N,J,Delta,ground,index
0,-2.000000000000002,-0.0,0.25,8.0,0.0,0.0,-2.000000000000002,11110110
256,-2.000000000000001,-0.16326530612244894,1.0,8.0,0.020408163265306117,0.0,-2.16326530612245,11111111
512,-2.000000000000002,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.0,-2.3265306122448997,11111111
768,-2.0,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.0,-2.489795918367347,00000000
1024,-2.0000000000000013,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.0,-2.6530612244897966,11111111
1280,-2.0000000000000004,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.0,-2.8163265306122454,11111111
1536,-2.000000000000001,-0.979591836734694,1.0,8.0,0.12244897959183673,0.0,-2.979591836734695,00000000
1792,-2.0000000000000004,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.0,-3.1428571428571432,11111111
2048,-2.000000000000001,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.0,-3.3061224489795924,11111111
2304,-2.0000000000000004,-1.469387755102041,1.0,8.0,0.18367346938775508,0.0,-3.4693877551020407,11111111
2560,-2.000000000000001,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.0,-3.6326530612244903,11111111
2816,-2.0,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.0,-3.7959183673469385,00000000
3073,-2.0,-1.959183673469388,1.0,8.0,0.24489795918367346,0.0,-3.959183673469388,00000000
3328,-2.0000000000000004,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.0,-4.122448979591837,00000000
3584,-2.0,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.0,-4.285714285714286,11111111
3840,-2.0000000000000013,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.0,-4.4489795918367365,00000000
4096,-2.000000000000001,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.0,-4.612244897959185,11111111
4352,-2.000000000000001,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.0,-4.775510204081634,00000000
4608,-2.0000000000000013,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.0,-4.938775510204083,11111111
4864,-2.000000000000001,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.0,-5.102040816326531,11111111
5120,-2.0,-3.2653061224489783,1.0,8.0,0.4081632653061224,0.0,-5.2653061224489806,11111111
5376,-2.0,-3.4285714285714284,1.0,8.0,0.42857142857142855,0.0,-5.428571428571429,11111111
5632,-2.0,-3.591836734693877,1.0,8.0,0.4489795918367345,0.0,-5.591836734693876,11111111
5888,-2.000000000000001,-3.7551020408163263,1.0,8.0,0.4693877551020408,0.0,-5.755102040816327,11111111
6144,-2.0000000000000004,-3.918367346938776,1.0,8.0,0.4897959183673469,0.0,-5.918367346938775,11111111
6400,-2.000000000000001,-4.081632653061225,1.0,8.0,0.5102040816326531,0.0,-6.0816326530612255,00000000
6656,-2.0000000000000018,-4.244897959183673,1.0,8.0,0.5306122448979591,0.0,-6.244897959183675,00000000
6912,-2.0,-4.408163265306122,1.0,8.0,0.5510204081632653,0.0,-6.408163265306122,11111111
7168,-2.0000000000000018,-4.571428571428571,1.0,8.0,0.5714285714285714,0.0,-6.571428571428572,11111111
7424,-2.000000000000001,-4.7346938775510194,1.0,8.0,0.5918367346938775,0.0,-6.734693877551021,11111111
7680,-2.0,-4.897959183673469,1.0,8.0,0.6122448979591836,0.0,-6.897959183673469,11111111
7936,-2.0000000000000004,-5.061224489795918,1.0,8.0,0.6326530612244897,0.0,-7.061224489795919,00000000
8192,-2.0000000000000013,-5.224489795918367,1.0,8.0,0.6530612244897959,0.0,-7.224489795918367,11111111
8448,-2.0000000000000004,-5.387755102040817,1.0,8.0,0.6734693877551021,0.0,-7.387755102040818,00000000
8704,-2.0000000000000018,-5.551020408163265,1.0,8.0,0.6938775510204082,0.0,-7.551020408163267,11111111
8960,-2.000000000000001,-5.7142857142857135,1.0,8.0,0.7142857142857142,0.0,-7.7142857142857135,11111111
9216,-2.0,-5.877551020408162,1.0,8.0,0.7346938775510203,0.0,-7.877551020408162,11111111
9472,-2.000000000000001,-6.040816326530613,1.0,8.0,0.7551020408163265,0.0,-8.040816326530612,11111111
9728,-2.0000000000000004,-6.204081632653061,1.0,8.0,0.7755102040816326,0.0,-8.204081632653061,11111111
9984,-2.0000000000000004,-6.367346938775508,1.0,8.0,0.7959183673469387,0.0,-8.36734693877551,00000000
10240,-2.000000000000001,-6.530612244897957,1.0,8.0,0.8163265306122448,0.0,-8.530612244897961,00000000
10496,-2.000000000000001,-6.693877551020408,1.0,8.0,0.836734693877551,0.0,-8.693877551020408,11111111
10752,-2.000000000000001,-6.857142857142858,1.0,8.0,0.8571428571428571,0.0,-8.857142857142858,11111111
11008,-2.0000000000000004,-7.020408163265307,1.0,8.0,0.8775510204081632,0.0,-9.020408163265307,11111111
11264,-2.0000000000000004,-7.183673469387754,1.0,8.0,0.8979591836734693,0.0,-9.183673469387754,11111111
11520,-2.0,-7.3469387755102025,1.0,8.0,0.9183673469387754,0.0,-9.346938775510203,11111111
11776,-2.0000000000000013,-7.5102040816326525,1.0,8.0,0.9387755102040816,0.0,-9.510204081632654,11111111
12032,-2.0000000000000004,-7.6734693877551035,1.0,8.0,0.9591836734693876,0.0,-9.673469387755102,11111111
12288,-2.0000000000000004,-7.83673469387755,1.0,8.0,0.979591836734694,0.0,-9.83673469387755,11111111
12544,-2.0,-8.0,1.0,8.0,1.0,0.0,-10.0,11111111
12800,-2.081632653061225,0.0,0.0,8.0,0.0,0.040816326530612235,-2.081632653061225,10101010
13056,-2.0,-0.16326530612244894,1.0,8.0,0.020408163265306117,0.040816326530612235,-2.163265306122449,11111111
13312,-2.0,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.040816326530612235,-2.326530612244898,11111111
13568,-2.0,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.040816326530612235,-2.489795918367347,11111111
13824,-2.0000000000000004,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.040816326530612235,-2.6530612244897958,11111111
14080,-2.0000000000000018,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.040816326530612235,-2.8163265306122467,11111111
14336,-2.000000000000001,-0.979591836734694,1.0,8.0,0.12244897959183673,0.040816326530612235,-2.979591836734695,11111111
14592,-2.0000000000000018,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.040816326530612235,-3.142857142857145,00000000
14848,-2.0000000000000013,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.040816326530612235,-3.3061224489795933,00000000
15104,-2.000000000000001,-1.469387755102041,1.0,8.0,0.18367346938775508,0.040816326530612235,-3.4693877551020416,11111111
15360,-2.0000000000000013,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.040816326530612235,-3.6326530612244903,00000000
15616,-2.000000000000001,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.040816326530612235,-3.795918367346939,11111111
15872,-2.0000000000000018,-1.959183673469388,1.0,8.0,0.24489795918367346,0.040816326530612235,-3.9591836734693895,00000000
16128,-2.000000000000001,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.040816326530612235,-4.122448979591837,00000000
16384,-2.000000000000001,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.040816326530612235,-4.285714285714287,11111111
16640,-2.0000000000000004,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.040816326530612235,-4.448979591836736,11111111
16896,-2.0000000000000004,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.040816326530612235,-4.612244897959183,11111111
17152,-2.000000000000001,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.040816326530612235,-4.775510204081634,00000000
17408,-2.0000000000000013,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.040816326530612235,-4.938775510204083,11111111
17664,-2.0,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.040816326530612235,-5.1020408163265305,11111111
17920,-2.0000000000000004,-3.2653061224489783,1.0,8.0,0.4081632653061224,0.040816326530612235,-5.2653061224489806,11111111
18176,-2.000000000000002,-3.4285714285714284,1.0,8.0,0.42857142857142855,0.040816326530612235,-5.4285714285714315,11111111
18432,-2.000000000000001,-3.591836734693877,1.0,8.0,0.4489795918367345,0.040816326530612235,-5.591836734693878,00000000
18688,-2.000000000000001,-3.7551020408163263,1.0,8.0,0.4693877551020408,0.040816326530612235,-5.755102040816327,11111111
18944,-2.0000000000000013,-3.918367346938776,1.0,8.0,0.4897959183673469,0.040816326530612235,-5.918367346938775,11111111
19200,-2.0000000000000004,-4.081632653061225,1.0,8.0,0.5102040816326531,0.040816326530612235,-6.0816326530612255,11111111
19456,-2.0000000000000004,-4.244897959183673,1.0,8.0,0.5306122448979591,0.040816326530612235,-6.244897959183673,11111111
19712,-2.0,-4.408163265306122,1.0,8.0,0.5510204081632653,0.040816326530612235,-6.408163265306122,11111111
19968,-2.000000000000001,-4.571428571428571,1.0,8.0,0.5714285714285714,0.040816326530612235,-6.571428571428572,11111111
20224,-2.0000000000000018,-4.7346938775510194,1.0,8.0,0.5918367346938775,0.040816326530612235,-6.734693877551023,11111111
