Delta,J,absmin_cos,energy,h,min_cos
0.0,0.0,1.0,-0.6366197723675814,0.0,1.0
0.04081632653061224,0.0,1.0,-0.6387871735716973,0.0,1.0
0.08163265306122448,0.0,1.0,-0.6438293875997287,0.0,1.0
0.12244897959183673,0.0,1.0,-0.6509376957247632,0.0,1.0
0.16326530612244897,0.0,1.0,-0.6596995653235591,0.0,1.0
0.2040816326530612,0.0,1.0,-0.669840488994549,0.0,1.0
0.24489795918367346,0.0,1.0,-0.6811595104196903,0.0,1.0
0.2857142857142857,0.0,1.0,-0.6935015372826355,0.0,1.0
0.32653061224489793,0.0,1.0,-0.7067427133032695,0.0,1.0
0.36734693877551017,0.0,1.0,-0.7207817048748295,0.0,1.0
0.4081632653061224,0.0,1.0,-0.735534082671819,0.0,1.0
0.44897959183673464,0.0,1.0,-0.7509284885539741,0.0,1.0
0.4897959183673469,0.0,1.0,-0.7669039076260283,0.0,1.0
0.5306122448979591,0.0,1.0,-0.7834076620699505,0.0,1.0
0.5714285714285714,0.0,1.0,-0.8003938965948428,0.0,1.0
0.6122448979591836,0.0,1.0,-0.8178224102595577,0.0,1.0
0.6530612244897959,0.0,1.0,-0.8356577392113458,0.0,1.0
0.6938775510204082,0.0,1.0,-0.8538684254616299,0.0,1.0
0.7346938775510203,0.0,1.0,-0.8724264263390638,0.0,1.0
0.7755102040816326,0.0,1.0,-0.8913066321340443,0.0,1.0
0.8163265306122448,0.0,1.0,-0.9104864681813318,0.0,1.0
0.8571428571428571,0.0,1.0,-0.9299455636961923,0.0,1.0
0.8979591836734693,0.0,1.0,-0.9496654739874221,0.0,1.0
0.9387755102040816,0.0,1.0,-0.9696294457862978,0.0,1.0
0.9795918367346939,0.0,1.0,-0.9898222177215116,0.0,1.0
1.0204081632653061,0.0,1.0,-1.0102298496798872,0.0,1.0
1.0612244897959182,0.0,1.0,-1.0308395760856834,0.0,1.0
1.1020408163265305,0.0,1.0,-1.051639679120924,0.0,1.0
1.1428571428571428,0.0,1.0,-1.0726193786749485,0.0,1.0
1.183673469387755,0.0,1.0,-1.093768736409774,0.0,1.0
1.2244897959183672,0.0,1.0,-1.1150785717997693,0.0,1.0
1.2653061224489794,0.0,1.0,-1.1365403883794005,0.0,1.0
1.3061224489795917,0.0,1.0,-1.158146308733516,0.0,1.0
1.346938775510204,0.0,1.0,-1.1798890170073522,0.0,1.0
1.3877551020408163,0.0,1.0,-1.2017617079106002,0.0,1.0
1.4285714285714284,0.0,1.0,-1.2237580413510678,0.0,1.0
1.4693877551020407,0.0,1.0,-1.2458721019659835,0.0,1.0
1.510204081632653,0.0,1.0,-1.2680983629285207,0.0,1.0
1.5510204081632653,0.0,1.0,-1.2904316534981335,0.0,1.0
1.5918367346938773,0.0,1.0,-1.312867129859246,0.0,1.0
1.6326530612244896,0.0,1.0,-1.3354002488565375,0.0,1.0
1.673469387755102,0.0,1.0,-1.3580267442886893,0.0,1.0
1.7142857142857142,0.0,1.0,-1.3807426054678091,0.0,1.0
1.7551020408163265,0.0,1.0,-1.4035440577902185,0.0,1.0
1.7959183673469385,0.0,1.0,-1.426427545097059,0.0,1.0
1.8367346938775508,0.0,1.0,-1.4493897136311868,0.0,1.0
1.8775510204081631,0.0,1.0,-1.472427397420824,0.0,1.0
1.9183673469387754,0.0,1.0,-1.4955376049410984,0.0,1.0
1.9591836734693877,0.0,1.0,-1.5187175069224206,0.0,1.0
2.0,0.0,1.0,-1.54196442519004,0.0,1.0
0.0,0.02040816326530612,1.0,-0.6570279356328875,0.0,1.0
0.04081632653061224,0.02040816326530612,1.0,-0.6591953368370035,0.0,1.0
0.08163265306122448,0.02040816326530612,1.0,-0.6642375508650349,0.0,1.0
0.12244897959183673,0.02040816326530612,1.0,-0.6713458589900694,0.0,1.0
0.16326530612244897,0.02040816326530612,1.0,-0.6801077285888653,0.0,1.0
0.2040816326530612,0.02040816326530612,1.0,-0.6902486522598551,0.0,1.0
0.24489795918367346,0.02040816326530612,1.0,-0.7015676736849964,0.0,1.0
0.2857142857142857,0.02040816326530612,1.0,-0.7139097005479417,0.0,1.0
0.32653061224489793,0.02040816326530612,1.0,-0.7271508765685757,0.0,1.0
0.36734693877551017,0.02040816326530612,1.0,-0.7411898681401357,0.0,1.0
0.4081632653061224,0.02040816326530612,1.0,-0.7559422459371251,0.0,1.0
0.44897959183673464,0.02040816326530612,1.0,-0.7713366518192802,0.0,1.0
0.4897959183673469,0.02040816326530612,1.0,-0.7873120708913345,0.0,1.0
