,ground_J=0,-J_term,M^2,N,J,Delta,ground,index
0,-2.0000000000000044,-0.0,0.027777777777777776,12.0,0.0,0.0,-2.0000000000000044,110010001100
4096,-2.0000000000000013,-0.24489795918367346,1.0,12.0,0.020408163265306117,0.0,-2.244897959183674,111111111111
8192,-2.0,-0.4897959183673469,1.0,12.0,0.040816326530612235,0.0,-2.4897959183673466,111111111111
12288,-2.0,-0.7346938775510203,1.0,12.0,0.061224489795918366,0.0,-2.7346938775510203,111111111111
16384,-2.0,-0.979591836734694,1.0,12.0,0.08163265306122447,0.0,-2.9795918367346936,111111111111
20480,-2.0000000000000004,-1.2244897959183672,1.0,12.0,0.1020408163265306,0.0,-3.2244897959183683,111111111111
24576,-2.0000000000000018,-1.469387755102041,1.0,12.0,0.12244897959183673,0.0,-3.4693877551020424,111111111111
28672,-2.0,-1.7142857142857142,1.0,12.0,0.14285714285714285,0.0,-3.7142857142857135,111111111111
32769,-2.0,-1.959183673469388,1.0,12.0,0.16326530612244894,0.0,-3.959183673469388,111111111111
36864,-2.0,-2.204081632653061,1.0,12.0,0.18367346938775508,0.0,-4.204081632653061,111111111111
40960,-2.0,-2.4489795918367343,1.0,12.0,0.2040816326530612,0.0,-4.448979591836733,111111111111
45056,-2.000000000000003,-2.693877551020408,1.0,12.0,0.22448979591836726,0.0,-4.69387755102041,111111111111
49152,-2.0,-2.9387755102040813,1.0,12.0,0.24489795918367346,0.0,-4.938775510204081,111111111111
53248,-2.000000000000001,-3.183673469387754,1.0,12.0,0.26530612244897955,0.0,-5.183673469387756,111111111111
57344,-2.0000000000000004,-3.4285714285714284,1.0,12.0,0.2857142857142857,0.0,-5.428571428571429,111111111111
61440,-2.0,-3.6734693877551017,1.0,12.0,0.3061224489795918,0.0,-5.6734693877551035,111111111111
65536,-2.000000000000001,-3.918367346938776,1.0,12.0,0.32653061224489793,0.0,-5.918367346938775,000000000000
69632,-2.0000000000000018,-4.163265306122448,1.0,12.0,0.3469387755102041,0.0,-6.163265306122451,000000000000
73728,-2.000000000000001,-4.408163265306122,1.0,12.0,0.36734693877551017,0.0,-6.408163265306122,111111111111
77824,-2.0000000000000004,-4.653061224489796,1.0,12.0,0.3877551020408163,0.0,-6.6530612244897975,000000000000
81920,-2.0,-4.897959183673469,1.0,12.0,0.4081632653061224,0.0,-6.897959183673469,111111111111
86016,-2.0,-5.1428571428571415,1.0,12.0,0.42857142857142855,0.0,-7.142857142857142,111111111111
90112,-2.0000000000000004,-5.387755102040815,1.0,12.0,0.4489795918367345,0.0,-7.387755102040815,111111111111
94208,-2.000000000000001,-5.632653061224491,1.0,12.0,0.4693877551020408,0.0,-7.632653061224492,000000000000
98304,-2.000000000000003,-5.877551020408162,1.0,12.0,0.4897959183673469,0.0,-7.877551020408165,000000000000
102400,-2.0,-6.122448979591838,1.0,12.0,0.5102040816326531,0.0,-8.122448979591837,111111111111
106496,-2.000000000000001,-6.367346938775508,1.0,12.0,0.5306122448979591,0.0,-8.36734693877551,111111111111
110592,-2.000000000000003,-6.612244897959182,1.0,12.0,0.5510204081632653,0.0,-8.612244897959187,111111111111
114688,-2.000000000000001,-6.857142857142858,1.0,12.0,0.5714285714285714,0.0,-8.857142857142858,111111111111
118784,-2.000000000000001,-7.1020408163265305,1.0,12.0,0.5918367346938775,0.0,-9.102040816326534,000000000000
122880,-2.000000000000003,-7.3469387755102025,1.0,12.0,0.6122448979591836,0.0,-9.346938775510207,111111111111
126976,-2.0,-7.591836734693876,1.0,12.0,0.6326530612244897,0.0,-9.591836734693876,111111111111
131072,-2.0000000000000004,-7.83673469387755,1.0,12.0,0.6530612244897959,0.0,-9.83673469387755,111111111111
135168,-2.0000000000000018,-8.081632653061224,1.0,12.0,0.6734693877551021,0.0,-10.081632653061224,111111111111
139264,-2.0000000000000013,-8.326530612244897,1.0,12.0,0.6938775510204082,0.0,-10.3265306122449,111111111111
143360,-2.0000000000000013,-8.571428571428571,1.0,12.0,0.7142857142857142,0.0,-10.571428571428571,111111111111
147456,-2.0,-8.816326530612244,1.0,12.0,0.7346938775510203,0.0,-10.816326530612244,111111111111
151552,-2.0,-9.06122448979592,1.0,12.0,0.7551020408163265,0.0,-11.06122448979592,111111111111
155648,-2.000000000000001,-9.306122448979592,1.0,12.0,0.7755102040816326,0.0,-11.306122448979592,111111111111
159744,-2.0000000000000004,-9.551020408163264,1.0,12.0,0.7959183673469387,0.0,-11.551020408163266,000000000000
163840,-2.0000000000000004,-9.795918367346935,1.0,12.0,0.8163265306122448,0.0,-11.795918367346935,111111111111
167936,-2.0,-10.040816326530612,1.0,12.0,0.836734693877551,0.0,-12.040816326530614,111111111111
172032,-2.0,-10.285714285714283,1.0,12.0,0.8571428571428571,0.0,-12.285714285714285,111111111111
176128,-2.0000000000000013,-10.530612244897961,1.0,12.0,0.8775510204081632,0.0,-12.530612244897961,111111111111
180224,-2.0000000000000004,-10.77551020408163,1.0,12.0,0.8979591836734693,0.0,-12.77551020408163,111111111111
184320,-2.0000000000000013,-11.020408163265305,1.0,12.0,0.9183673469387754,0.0,-13.020408163265307,111111111111
188416,-2.0000000000000018,-11.265306122448981,1.0,12.0,0.9387755102040816,0.0,-13.265306122448981,111111111111
192512,-2.0,-11.510204081632653,1.0,12.0,0.9591836734693876,0.0,-13.510204081632653,111111111111
196608,-2.0000000000000018,-11.755102040816324,1.0,12.0,0.979591836734694,0.0,-13.755102040816329,111111111111
200704,-2.0,-12.0,1.0,12.0,1.0,0.0,-14.0,111111111111
204800,-2.0816326530612232,0.0,0.0,12.0,0.0,0.040816326530612235,-2.0816326530612232,010101010101
