Delta,J,M^2,N,O^2,delta_E,ground,h,identity
0.0,0.0,0.16639454969325973,6,1.5177008269931198,0.0,0.0,0.0,0.16637935460347253
0.0,0.02040816326530612,0.9999999999999993,6,1.1951920033184436,8.326672684688674e-17,-0.12244897959183672,0.0,0.9936980745494686
0.0,0.04081632653061224,1.0000000000000007,6,1.3944982048428491,-1.6653345369377348e-16,-0.24489795918367363,0.0,0.9979095249962329
0.0,0.061224489795918366,1.0,6,1.4385110860563934,0.0,-0.3673469387755104,0.0,0.9961687869357566
0.0,0.08163265306122448,1.0000000000000004,6,1.5417744973881478,-5.551115123125783e-17,-0.48979591836734726,0.0,0.9899649733498465
0.0,0.1020408163265306,1.000000000000001,6,1.8708354559570752,2.220446049250313e-16,-0.6122448979591844,0.0,0.996943717592934
0.0,0.12244897959183673,0.9999999999999994,6,1.4305036885838878,-5.551115123125783e-16,-0.7346938775510204,0.0,0.9999487035812253
0.0,0.14285714285714285,1.0000000000000007,6,1.1461835726310006,0.0,-0.8571428571428585,0.0,0.999919229779351
0.0,0.16326530612244897,0.9999999999999999,6,1.261529463189356,0.653061224489796,-0.979591836734694,0.0,0.9936087753928002
0.0,0.18367346938775508,0.9999999999999992,6,1.6363521868360922,0.7346938775510197,-1.10204081632653,0.0,0.998747809290821
0.0,0.2040816326530612,0.9999999999999987,6,1.848284469725784,-1.1102230246251565e-15,-1.224489795918367,0.0,0.9999202671946147
0.0,0.22448979591836732,0.9999999999999991,6,1.6644845685439225,-2.220446049250313e-15,-1.3469387755102025,0.0,0.9999946502141208
0.0,0.24489795918367346,1.000000000000001,6,1.7154294613440386,0.0,-1.4693877551020418,0.0,0.9992070767158814
0.0,0.26530612244897955,0.9999999999999999,6,1.7367766908508506,-8.881784197001252e-16,-1.5918367346938773,0.0,0.9989739487433528
0.0,0.2857142857142857,0.9999999999999998,6,1.534827133715296,-6.661338147750939e-16,-1.7142857142857146,0.0,0.9986366000106087
0.0,0.3061224489795918,1.0000000000000007,6,1.4252519335666798,1.7763568394002505e-15,-1.836734693877553,0.0,0.9949245464752116
0.0,0.32653061224489793,1.0,6,1.5572431011356835,-1.1102230246251565e-15,-1.9591836734693875,0.0,0.9995061961720337
0.0,0.3469387755102041,1.0000000000000004,6,1.1971071620763314,5.773159728050814e-15,-2.081632653061228,0.0,0.9973727266751027
0.0,0.36734693877551017,0.9999999999999996,6,1.4899508605447955,1.4693877551020393,-2.2040816326530597,0.0,0.9996331484928898
0.0,0.3877551020408163,1.0000000000000002,6,1.8100180786457707,4.440892098500626e-16,-2.326530612244899,0.0,0.9974924181187562
0.0,0.4081632653061224,1.0,6,1.4717293686976705,-8.881784197001252e-16,-2.4489795918367347,0.0,0.9970723708138364
0.0,0.42857142857142855,1.0,6,1.7515467463437489,3.1086244689504383e-15,-2.571428571428573,0.0,0.9985022431141136
0.0,0.44897959183673464,0.9999999999999996,6,1.4688159551372577,4.440892098500626e-16,-2.693877551020409,0.0,0.9968197902009835
0.0,0.4693877551020408,0.9999999999999982,6,1.739470068282523,1.8775510204081645,-2.816326530612246,0.0,0.9999966729440496
0.0,0.4897959183673469,0.9999999999999998,6,1.7822238006265363,1.9591836734693875,-2.938775510204082,0.0,0.9998333320583632
0.0,0.5102040816326531,0.9999999999999988,6,1.3669039118052058,-3.552713678800501e-15,-3.0612244897959138,0.0,0.9995044832995689
0.0,0.5306122448979591,0.9999999999999994,6,1.44889597261808,-6.661338147750939e-15,-3.1836734693877538,0.0,0.9969904838542506
0.0,0.5510204081632653,0.9999999999999997,6,1.5428883137603786,-1.3322676295501878e-15,-3.3061224489795924,0.0,0.9995473861479834
0.0,0.5714285714285714,1.0,6,1.8727663079690122,-8.881784197001252e-16,-3.42857142857143,0.0,0.9959913049179557
0.0,0.5918367346938775,0.999999999999999,6,1.5199481394620495,-4.440892098500626e-15,-3.5510204081632644,0.0,0.9997589745660939
0.0,0.6122448979591836,1.0,6,1.4852771954152555,-2.220446049250313e-15,-3.6734693877551026,0.0,0.999899521129274
0.0,0.6326530612244897,1.0000000000000009,6,1.5360503772922809,2.530612244897961,-3.795918367346941,0.0,0.9998695846256556
0.0,0.6530612244897959,1.0000000000000004,6,1.4129458079903858,-3.9968028886505635e-15,-3.9183673469387776,0.0,0.9993610399046595
0.0,0.673469387755102,0.9999999999999987,6,1.755599739431476,-3.552713678800501e-15,-4.040816326530611,0.0,0.9963974192605823
0.0,0.6938775510204082,1.0000000000000016,6,1.4478184195815822,2.6645352591003757e-15,-4.163265306122457,0.0,0.9982950183849024
0.0,0.7142857142857142,0.9999999999999993,6,1.4556087285018122,2.8571428571428585,-4.285714285714287,0.0,0.9992556547847864
0.0,0.7346938775510203,1.0000000000000007,6,1.6176601244714408,6.217248937900877e-15,-4.408163265306128,0.0,0.9996082001110557
0.0,0.7551020408163265,0.9999999999999991,6,1.450029140420113,0.0,-4.530612244897959,0.0,0.999012884502164
0.0,0.7755102040816326,1.0000000000000022,6,1.758450503750468,8.881784197001252e-16,-4.6530612244898055,0.0,0.9961604525477982
0.0,0.7959183673469387,0.9999999999999998,6,1.503492607897702,-2.6645352591003757e-15,-4.775510204081629,0.0,0.9973715127978423
0.0,0.8163265306122448,0.9999999999999991,6,1.3793220391447902,3.2653061224489788,-4.897959183673468,0.0,0.998103566689686
0.0,0.836734693877551,1.0000000000000004,6,1.8088203872667434,3.3469387755102034,-5.020408163265306,0.0,0.9937794693204384
0.0,0.8571428571428571,1.0000000000000013,6,1.3382335120144058,-5.329070518200751e-15,-5.142857142857141,0.0,0.9988011864358167
0.0,0.8775510204081632,1.0000000000000004,6,1.429993479333273,0.0,-5.265306122448984,0.0,0.9948739156199471
0.0,0.8979591836734693,0.9999999999999991,6,1.6083287235516732,-4.440892098500626e-15,-5.38775510204082,0.0,0.999993501382997
0.0,0.9183673469387754,1.0000000000000002,6,1.619766548228208,-6.217248937900877e-15,-5.510204081632656,0.0,0.9661455906100056
0.0,0.9387755102040816,0.9999999999999999,6,1.3616584997915675,0.0,-5.632653061224489,0.0,0.9973013858755624
0.0,0.9591836734693877,1.0,6,1.6514737602844625,9.769962616701378e-15,-5.755102040816331,0.0,0.9999889764138169
0.0,0.9795918367346939,0.9999999999999984,6,1.6254351138877252,3.918367346938778,-5.877551020408165,0.0,0.9974196042313999
0.0,1.0,0.9999999999999998,6,1.2347437722299333,-1.7763568394002505e-15,-6.000000000000001,0.0,0.9993162755516185
0.04081632653061224,0.0,0.1768799269937104,6,2.20751970797485,-1.6653345369377348e-15,-0.16326530612244974,0.0,0.17188229568349087
0.04081632653061224,0.02040816326530612,1.0000000000000022,6,4.5000000000000115,-6.661338147750939e-16,-0.2638408822505218,0.0,0.9414384871582843
0.04081632653061224,0.04081632653061224,1.0000000000000078,6,4.500000000000036,-2.0539125955565396e-15,-0.38628986184235997,0.0,0.7625145595330366
0.04081632653061224,0.061224489795918366,1.0000000000000067,6,4.500000000000031,-1.7763568394002505e-15,-0.5087388414341991,0.0,0.8452798386039789
0.04081632653061224,0.08163265306122448,1.0000000000000069,6,4.500000000000032,-7.216449660063518e-15,-0.6311878210260343,0.0,0.9519782567559032
0.04081632653061224,0.1020408163265306,1.0000000000000093,6,4.500000000000043,-7.771561172376096e-15,-0.7536368006178749,0.0,0.9414565033400775
0.04081632653061224,0.12244897959183673,1.000000000000013,6,4.50000000000006,-8.770761894538737e-15,-0.8760857802097133,0.0,0.9844448330919046
0.04081632653061224,0.14285714285714285,1.00000000000001,6,4.500000000000046,-1.84297022087776e-14,-0.9985347598015493,0.0,0.732566026922479
0.04081632653061224,0.16326530612244897,1.0000000000000142,6,4.500000000000064,-1.887379141862766e-14,-1.1209837393933904,0.0,0.9423493476923841
0.04081632653061224,0.18367346938775508,1.0000000000000122,6,4.500000000000056,-2.0872192862952943e-14,-1.2434327189852319,0.0,0.9633835239750759
0.04081632653061224,0.2040816326530612,1.0000000000000124,6,4.500000000000059,-2.708944180085382e-14,-1.365881698577065,0.0,0.9420201694902455
0.04081632653061224,0.22448979591836732,1.0000000000000073,6,4.500000000000037,-2.7533531010703882e-14,-1.4883306781689052,0.0,0.9082970346165029
0.04081632653061224,0.24489795918367346,1.000000000000015,6,4.500000000000073,-3.4638958368304884e-14,-1.6107796577607467,0.0,0.8780492449791248
0.04081632653061224,0.26530612244897955,1.000000000000014,6,4.500000000000067,-2.2870594307278225e-14,-1.7332286373525874,0.0,0.3427926792539996
0.04081632653061224,0.2857142857142857,1.0000000000000124,6,4.500000000000058,0.0706959513293195,-1.8556776169444227,0.0,0.9868184129042843
0.04081632653061224,0.3061224489795918,1.0000000000000093,6,4.500000000000044,-2.886579864025407e-14,-1.9781265965362556,0.0,0.8338904451900498
0.04081632653061224,0.32653061224489793,1.0000000000000129,6,4.50000000000006,-3.3306690738754696e-14,-2.1005755761280938,0.0,0.9421641570949244
0.04081632653061224,0.3469387755102041,1.0000000000000089,6,4.5000000000000435,0.0706959513293195,-2.223024555719931,0.0,0.9407493370868714
0.04081632653061224,0.36734693877551017,1.000000000000011,6,4.500000000000056,-3.6415315207705135e-14,-2.3454735353117684,0.0,0.9943330293345215
0.04081632653061224,0.3877551020408163,1.000000000000012,6,4.500000000000065,-4.796163466380676e-14,-2.46792251490361,0.0,0.8614320548232127
0.04081632653061224,0.4081632653061224,1.0000000000000144,6,4.500000000000066,-1.3766765505351941e-14,-2.590371494495452,0.0,0.7838155641259837
0.04081632653061224,0.42857142857142855,1.0000000000000084,6,4.500000000000039,-3.952393967665557e-14,-2.712820474087283,0.0,0.9343410495309769
