,ground_J=0,-J_term,M^2,N,J,Delta,ground,index
0,-2.0000000000000013,0.0,0.020408163265306117,7.0,0.0,0.0,-2.0000000000000013,0011001
128,-2.0000000000000018,-0.14285714285714285,1.0,7.0,0.020408163265306117,0.0,-2.142857142857145,0000000
256,-2.000000000000001,-0.2857142857142857,1.0,7.0,0.040816326530612235,0.0,-2.2857142857142865,0000000
384,-2.0000000000000018,-0.42857142857142855,1.0,7.0,0.061224489795918366,0.0,-2.42857142857143,1111111
512,-2.0000000000000004,-0.5714285714285714,1.0,7.0,0.08163265306122447,0.0,-2.5714285714285716,0000000
640,-1.9999999999999991,-0.7142857142857142,1.0,7.0,0.1020408163265306,0.0,-2.714285714285713,1111111
768,-2.0,-0.8571428571428571,1.0,7.0,0.12244897959183673,0.0,-2.8571428571428568,1111111
896,-2.0000000000000004,-1.0,1.0,7.0,0.14285714285714285,0.0,-3.0000000000000004,1111111
1024,-2.0,-1.1428571428571428,1.0,7.0,0.16326530612244894,0.0,-3.1428571428571432,1111111
1152,-2.0000000000000004,-1.2857142857142856,1.0,7.0,0.18367346938775508,0.0,-3.285714285714286,0000000
1280,-2.0000000000000013,-1.4285714285714284,1.0,7.0,0.2040816326530612,0.0,-3.4285714285714297,1111111
1408,-2.0,-1.5714285714285712,1.0,7.0,0.22448979591836726,0.0,-3.571428571428571,1111111
1536,-2.0000000000000018,-1.7142857142857142,1.0,7.0,0.24489795918367346,0.0,-3.7142857142857166,1111111
1664,-2.0000000000000004,-1.8571428571428568,1.0,7.0,0.26530612244897955,0.0,-3.8571428571428568,1111111
1792,-2.0000000000000004,-2.0,1.0,7.0,0.2857142857142857,0.0,-4.0,0000000
1920,-2.0,-2.1428571428571423,1.0,7.0,0.3061224489795918,0.0,-4.142857142857142,1111111
2048,-2.0,-2.2857142857142856,1.0,7.0,0.32653061224489793,0.0,-4.285714285714286,1111111
2176,-2.0,-2.4285714285714284,1.0,7.0,0.3469387755102041,0.0,-4.428571428571429,1111111
2304,-2.000000000000001,-2.5714285714285707,1.0,7.0,0.36734693877551017,0.0,-4.571428571428573,1111111
2432,-2.0,-2.7142857142857144,1.0,7.0,0.3877551020408163,0.0,-4.714285714285714,0000000
2560,-2.0000000000000004,-2.8571428571428568,1.0,7.0,0.4081632653061224,0.0,-4.8571428571428585,0000000
2688,-2.0,-3.0,1.0,7.0,0.42857142857142855,0.0,-5.0,1111111
2816,-2.000000000000001,-3.1428571428571423,1.0,7.0,0.4489795918367345,0.0,-5.142857142857143,0000000
2944,-2.0,-3.2857142857142856,1.0,7.0,0.4693877551020408,0.0,-5.285714285714286,0000000
3072,-2.0,-3.4285714285714284,1.0,7.0,0.4897959183673469,0.0,-5.428571428571429,1111111
3200,-2.0,-3.571428571428572,1.0,7.0,0.5102040816326531,0.0,-5.571428571428571,1111111
3328,-2.0,-3.7142857142857135,1.0,7.0,0.5306122448979591,0.0,-5.7142857142857135,1111111
3456,-2.0,-3.8571428571428568,1.0,7.0,0.5510204081632653,0.0,-5.857142857142858,1111111
3584,-2.000000000000001,-4.0,1.0,7.0,0.5714285714285714,0.0,-6.000000000000001,0000000
3712,-2.0,-4.142857142857142,1.0,7.0,0.5918367346938775,0.0,-6.142857142857142,1111111
3840,-2.0,-4.285714285714286,1.0,7.0,0.6122448979591836,0.0,-6.285714285714286,0000000
3968,-2.0,-4.428571428571427,1.0,7.0,0.6326530612244897,0.0,-6.428571428571428,1111111
4096,-2.000000000000001,-4.571428571428571,1.0,7.0,0.6530612244897959,0.0,-6.571428571428572,0000000
4224,-2.0,-4.714285714285714,1.0,7.0,0.6734693877551021,0.0,-6.7142857142857135,1111111
4352,-2.0,-4.857142857142857,1.0,7.0,0.6938775510204082,0.0,-6.857142857142858,1111111
4480,-2.000000000000001,-4.999999999999999,1.0,7.0,0.7142857142857142,0.0,-7.0,1111111
4608,-2.0000000000000013,-5.1428571428571415,1.0,7.0,0.7346938775510203,0.0,-7.142857142857144,0000000
4736,-2.0000000000000013,-5.285714285714286,1.0,7.0,0.7551020408163265,0.0,-7.2857142857142865,1111111
4864,-2.0000000000000013,-5.428571428571429,1.0,7.0,0.7755102040816326,0.0,-7.4285714285714315,0000000
4992,-2.0000000000000013,-5.571428571428571,1.0,7.0,0.7959183673469387,0.0,-7.571428571428571,1111111
5120,-2.0000000000000004,-5.7142857142857135,1.0,7.0,0.8163265306122448,0.0,-7.7142857142857135,1111111
5248,-2.0,-5.857142857142858,1.0,7.0,0.836734693877551,0.0,-7.857142857142858,0000000
5376,-2.0000000000000004,-6.0,1.0,7.0,0.8571428571428571,0.0,-8.0,1111111
5504,-2.000000000000001,-6.142857142857142,1.0,7.0,0.8775510204081632,0.0,-8.142857142857142,0000000
5632,-2.0000000000000013,-6.285714285714286,1.0,7.0,0.8979591836734693,0.0,-8.285714285714286,1111111
5760,-2.000000000000001,-6.428571428571428,1.0,7.0,0.9183673469387754,0.0,-8.428571428571429,1111111
5888,-2.0,-6.571428571428571,1.0,7.0,0.9387755102040816,0.0,-8.571428571428571,1111111
