,ground_J=0,-J_term,M^2,N,J,Delta,ground,index
48640,-2.000000000000001,-8.265306122448981,1.0,9.0,0.9183673469387754,0.040816326530612235,-10.265306122448981,111111111
49152,-2.0,-8.448979591836734,1.0,9.0,0.9387755102040816,0.040816326530612235,-10.448979591836734,111111111
49664,-2.0000000000000004,-8.63265306122449,1.0,9.0,0.9591836734693876,0.040816326530612235,-10.63265306122449,111111111
50176,-2.0000000000000004,-8.816326530612244,1.0,9.0,0.979591836734694,0.040816326530612235,-10.816326530612244,111111111
50688,-2.0,-9.0,1.0,9.0,1.0,0.040816326530612235,-11.0,111111111
51200,-2.0999109531325013,0.0,0.012345679012345678,9.0,0.0,0.08163265306122447,-2.0999109531325013,010101001
51712,-2.000000000000002,-0.18367346938775508,1.0,9.0,0.020408163265306117,0.08163265306122447,-2.1836734693877573,111111111
52224,-2.0,-0.36734693877551017,1.0,9.0,0.040816326530612235,0.08163265306122447,-2.3673469387755097,111111111
52736,-2.0000000000000004,-0.5510204081632653,1.0,9.0,0.061224489795918366,0.08163265306122447,-2.5510204081632657,000000000
53248,-2.0,-0.7346938775510203,1.0,9.0,0.08163265306122447,0.08163265306122447,-2.7346938775510203,111111111
53760,-2.0,-0.9183673469387754,1.0,9.0,0.1020408163265306,0.08163265306122447,-2.9183673469387754,111111111
54272,-2.0,-1.1020408163265305,1.0,9.0,0.12244897959183673,0.08163265306122447,-3.1020408163265305,111111111
54784,-2.0,-1.2857142857142856,1.0,9.0,0.14285714285714285,0.08163265306122447,-3.2857142857142856,111111111
55296,-2.0000000000000004,-1.469387755102041,1.0,9.0,0.16326530612244894,0.08163265306122447,-3.4693877551020407,111111111
55808,-2.0,-1.6530612244897958,1.0,9.0,0.18367346938775508,0.08163265306122447,-3.653061224489796,111111111
56320,-2.0,-1.8367346938775508,1.0,9.0,0.2040816326530612,0.08163265306122447,-3.8367346938775517,111111111
56832,-2.0000000000000004,-2.020408163265306,1.0,9.0,0.22448979591836726,0.08163265306122447,-4.020408163265306,000000000
57344,-2.0,-2.204081632653061,1.0,9.0,0.24489795918367346,0.08163265306122447,-4.204081632653061,111111111
57856,-2.000000000000002,-2.387755102040816,1.0,9.0,0.26530612244897955,0.08163265306122447,-4.387755102040819,111111111
58368,-2.000000000000001,-2.5714285714285707,1.0,9.0,0.2857142857142857,0.08163265306122447,-4.571428571428573,000000000
58880,-2.000000000000001,-2.7551020408163263,1.0,9.0,0.3061224489795918,0.08163265306122447,-4.755102040816327,111111111
59392,-2.0000000000000013,-2.9387755102040813,1.0,9.0,0.32653061224489793,0.08163265306122447,-4.938775510204083,000000000
59904,-2.000000000000001,-3.122448979591837,1.0,9.0,0.3469387755102041,0.08163265306122447,-5.122448979591837,111111111
60416,-2.0,-3.3061224489795915,1.0,9.0,0.36734693877551017,0.08163265306122447,-5.306122448979592,000000000
60928,-2.0000000000000004,-3.4897959183673466,1.0,9.0,0.3877551020408163,0.08163265306122447,-5.489795918367348,111111111
61440,-2.000000000000001,-3.6734693877551017,1.0,9.0,0.4081632653061224,0.08163265306122447,-5.6734693877551035,000000000
61952,-2.0,-3.8571428571428568,1.0,9.0,0.42857142857142855,0.08163265306122447,-5.857142857142858,000000000
62464,-2.0000000000000004,-4.040816326530612,1.0,9.0,0.4489795918367345,0.08163265306122447,-6.040816326530613,111111111
62976,-2.0,-4.224489795918367,1.0,9.0,0.4693877551020408,0.08163265306122447,-6.224489795918367,111111111
63488,-2.0,-4.408163265306122,1.0,9.0,0.4897959183673469,0.08163265306122447,-6.408163265306122,000000000
64000,-2.0000000000000004,-4.591836734693878,1.0,9.0,0.5102040816326531,0.08163265306122447,-6.591836734693878,111111111
64512,-2.0000000000000013,-4.775510204081632,1.0,9.0,0.5306122448979591,0.08163265306122447,-6.775510204081634,111111111
65024,-2.0,-4.959183673469386,1.0,9.0,0.5510204081632653,0.08163265306122447,-6.959183673469387,111111111
65536,-2.000000000000001,-5.1428571428571415,1.0,9.0,0.5714285714285714,0.08163265306122447,-7.142857142857142,000000000
66048,-2.0000000000000004,-5.326530612244898,1.0,9.0,0.5918367346938775,0.08163265306122447,-7.3265306122448965,111111111
66560,-2.000000000000001,-5.5102040816326525,1.0,9.0,0.6122448979591836,0.08163265306122447,-7.5102040816326525,111111111
67072,-2.0,-5.693877551020408,1.0,9.0,0.6326530612244897,0.08163265306122447,-7.693877551020408,111111111
67584,-2.0,-5.877551020408162,1.0,9.0,0.6530612244897959,0.08163265306122447,-7.877551020408162,111111111
68096,-2.0,-6.061224489795919,1.0,9.0,0.6734693877551021,0.08163265306122447,-8.061224489795919,111111111
68608,-2.0,-6.244897959183674,1.0,9.0,0.6938775510204082,0.08163265306122447,-8.244897959183675,111111111
69120,-2.0,-6.428571428571428,1.0,9.0,0.7142857142857142,0.08163265306122447,-8.428571428571429,111111111
69632,-2.0,-6.612244897959182,1.0,9.0,0.7346938775510203,0.08163265306122447,-8.612244897959183,111111111
70144,-2.0,-6.795918367346937,1.0,9.0,0.7551020408163265,0.08163265306122447,-8.795918367346937,111111111
70656,-1.9999999999999996,-6.979591836734692,1.0,9.0,0.7755102040816326,0.08163265306122447,-8.979591836734693,111111111
71168,-2.0000000000000004,-7.163265306122447,1.0,9.0,0.7959183673469387,0.08163265306122447,-9.16326530612245,000000000
71680,-2.0,-7.3469387755102025,1.0,9.0,0.8163265306122448,0.08163265306122447,-9.346938775510203,111111111
72192,-2.0,-7.530612244897957,1.0,9.0,0.836734693877551,0.08163265306122447,-9.530612244897961,111111111
72704,-2.0,-7.7142857142857135,1.0,9.0,0.8571428571428571,0.08163265306122447,-9.714285714285714,000000000
73216,-2.0,-7.897959183673469,1.0,9.0,0.8775510204081632,0.08163265306122447,-9.897959183673471,111111111
73728,-2.0,-8.081632653061224,1.0,9.0,0.8979591836734693,0.08163265306122447,-10.081632653061224,111111111
74240,-2.0,-8.265306122448981,1.0,9.0,0.9183673469387754,0.08163265306122447,-10.265306122448981,000000000
74752,-2.0,-8.448979591836734,1.0,9.0,0.9387755102040816,0.08163265306122447,-10.448979591836734,000000000
75264,-2.0000000000000013,-8.63265306122449,1.0,9.0,0.9591836734693876,0.08163265306122447,-10.632653061224492,000000000
75776,-2.0,-8.816326530612244,1.0,9.0,0.979591836734694,0.08163265306122447,-10.816326530612244,111111111
76288,-2.0000000000000018,-9.0,1.0,9.0,1.0,0.08163265306122447,-11.000000000000002,000000000
76800,-2.1718378394919835,0.0,0.012345679012345678,9.0,0.0,0.12244897959183673,-2.1718378394919835,011010101
77312,-2.0,-0.18367346938775508,1.0,9.0,0.020408163265306117,0.12244897959183673,-2.1836734693877546,111111111
77824,-1.9999999999999991,-0.36734693877551017,1.0,9.0,0.040816326530612235,0.12244897959183673,-2.3673469387755093,111111111
78336,-2.000000000000001,-0.5510204081632653,1.0,9.0,0.061224489795918366,0.12244897959183673,-2.551020408163266,000000000
78848,-2.0,-0.7346938775510203,1.0,9.0,0.08163265306122447,0.12244897959183673,-2.73469387755102,000000000
79360,-2.000000000000001,-0.9183673469387754,1.0,9.0,0.1020408163265306,0.12244897959183673,-2.9183673469387763,111111111
79872,-2.0000000000000004,-1.1020408163265305,1.0,9.0,0.12244897959183673,0.12244897959183673,-3.1020408163265314,111111111
80384,-2.0000000000000004,-1.2857142857142856,1.0,9.0,0.14285714285714285,0.12244897959183673,-3.285714285714286,111111111
80896,-2.000000000000001,-1.469387755102041,1.0,9.0,0.16326530612244894,0.12244897959183673,-3.4693877551020416,111111111
81408,-2.0,-1.6530612244897958,1.0,9.0,0.18367346938775508,0.12244897959183673,-3.6530612244897953,000000000
81920,-2.0,-1.8367346938775508,1.0,9.0,0.2040816326530612,0.12244897959183673,-3.8367346938775504,111111111
82432,-1.9999999999999996,-2.020408163265306,1.0,9.0,0.22448979591836726,0.12244897959183673,-4.020408163265305,111111111
82944,-2.0000000000000004,-2.204081632653061,1.0,9.0,0.24489795918367346,0.12244897959183673,-4.204081632653061,000000000
83456,-2.000000000000001,-2.387755102040816,1.0,9.0,0.26530612244897955,0.12244897959183673,-4.387755102040817,111111111
83968,-2.0000000000000013,-2.5714285714285707,1.0,9.0,0.2857142857142857,0.12244897959183673,-4.571428571428573,111111111
84480,-2.0,-2.7551020408163263,1.0,9.0,0.3061224489795918,0.12244897959183673,-4.755102040816326,111111111
84992,-2.0,-2.9387755102040813,1.0,9.0,0.32653061224489793,0.12244897959183673,-4.938775510204081,111111111
85504,-2.0,-3.122448979591837,1.0,9.0,0.3469387755102041,0.12244897959183673,-5.122448979591837,111111111
86016,-2.0000000000000004,-3.3061224489795915,1.0,9.0,0.36734693877551017,0.12244897959183673,-5.306122448979592,111111111
86528,-2.0,-3.4897959183673466,1.0,9.0,0.3877551020408163,0.12244897959183673,-5.489795918367347,111111111
87040,-2.0000000000000004,-3.6734693877551017,1.0,9.0,0.4081632653061224,0.12244897959183673,-5.6734693877551035,111111111
87552,-2.000000000000001,-3.8571428571428568,1.0,9.0,0.42857142857142855,0.12244897959183673,-5.857142857142858,000000000
88064,-2.0,-4.040816326530612,1.0,9.0,0.4489795918367345,0.12244897959183673,-6.040816326530613,111111111
88576,-2.0,-4.224489795918367,1.0,9.0,0.4693877551020408,0.12244897959183673,-6.224489795918367,000000000
89088,-2.000000000000001,-4.408163265306122,1.0,9.0,0.4897959183673469,0.12244897959183673,-6.408163265306122,111111111
89600,-2.0,-4.591836734693878,1.0,9.0,0.5102040816326531,0.12244897959183673,-6.591836734693878,111111111
90112,-2.0,-4.775510204081632,1.0,9.0,0.5306122448979591,0.12244897959183673,-6.775510204081633,111111111
90624,-2.000000000000001,-4.959183673469386,1.0,9.0,0.5510204081632653,0.12244897959183673,-6.959183673469387,000000000
91136,-2.0000000000000004,-5.1428571428571415,1.0,9.0,0.5714285714285714,0.12244897959183673,-7.142857142857142,111111111
91648,-2.000000000000001,-5.326530612244898,1.0,9.0,0.5918367346938775,0.12244897959183673,-7.326530612244898,000000000
92160,-2.0,-5.5102040816326525,1.0,9.0,0.6122448979591836,0.12244897959183673,-7.5102040816326525,111111111
92672,-2.0,-5.693877551020408,1.0,9.0,0.6326530612244897,0.12244897959183673,-7.693877551020408,000000000
93184,-2.000000000000001,-5.877551020408162,1.0,9.0,0.6530612244897959,0.12244897959183673,-7.8775510204081645,000000000
93696,-2.0,-6.061224489795919,1.0,9.0,0.6734693877551021,0.12244897959183673,-8.061224489795919,111111111
94208,-1.9999999999999996,-6.244897959183674,1.0,9.0,0.6938775510204082,0.12244897959183673,-8.244897959183673,111111111
94720,-1.9999999999999996,-6.428571428571428,1.0,9.0,0.7142857142857142,0.12244897959183673,-8.428571428571429,111111111
95232,-2.0000000000000004,-6.612244897959182,1.0,9.0,0.7346938775510203,0.12244897959183673,-8.612244897959183,111111111
95744,-2.0000000000000004,-6.795918367346937,1.0,9.0,0.7551020408163265,0.12244897959183673,-8.795918367346939,111111111
96256,-2.0,-6.979591836734692,1.0,9.0,0.7755102040816326,0.12244897959183673,-8.979591836734693,111111111
96768,-2.0000000000000013,-7.163265306122447,1.0,9.0,0.7959183673469387,0.12244897959183673,-9.16326530612245,111111111
97280,-2.0000000000000004,-7.3469387755102025,1.0,9.0,0.8163265306122448,0.12244897959183673,-9.346938775510203,111111111
97792,-1.999999999999999,-7.530612244897957,1.0,9.0,0.836734693877551,0.12244897959183673,-9.530612244897958,111111111
98304,-1.9999999999999996,-7.7142857142857135,1.0,9.0,0.8571428571428571,0.12244897959183673,-9.714285714285714,000000000
98816,-2.0000000000000004,-7.897959183673469,1.0,9.0,0.8775510204081632,0.12244897959183673,-9.897959183673471,000000000
99328,-2.0000000000000013,-8.081632653061224,1.0,9.0,0.8979591836734693,0.12244897959183673,-10.081632653061224,111111111
99840,-2.0000000000000004,-8.265306122448981,1.0,9.0,0.9183673469387754,0.12244897959183673,-10.265306122448981,111111111
100352,-2.0,-8.448979591836734,1.0,9.0,0.9387755102040816,0.12244897959183673,-10.448979591836734,111111111
100864,-2.0,-8.63265306122449,1.0,9.0,0.9591836734693876,0.12244897959183673,-10.63265306122449,111111111
101376,-2.0,-8.816326530612244,1.0,9.0,0.979591836734694,0.12244897959183673,-10.816326530612244,111111111
101888,-2.0000000000000004,-9.0,1.0,9.0,1.0,0.12244897959183673,-11.0,111111111
102400,-2.246204981459227,0.0,0.012345679012345678,9.0,0.0,0.16326530612244894,-2.246204981459227,101011010
102912,-2.1674491766059445,-0.020408163265306117,0.30864197530864196,9.0,0.020408163265306117,0.16326530612244894,-2.1878573398712504,101111110
103424,-2.0000000000000013,-0.36734693877551017,1.0,9.0,0.040816326530612235,0.16326530612244894,-2.3673469387755115,000000000
103936,-2.0,-0.5510204081632653,1.0,9.0,0.061224489795918366,0.16326530612244894,-2.5510204081632653,111111111
104448,-2.000000000000001,-0.7346938775510203,1.0,9.0,0.08163265306122447,0.16326530612244894,-2.734693877551021,000000000
104960,-2.0000000000000018,-0.9183673469387754,1.0,9.0,0.1020408163265306,0.16326530612244894,-2.9183673469387768,000000000
105472,-2.0,-1.1020408163265305,1.0,9.0,0.12244897959183673,0.16326530612244894,-3.1020408163265305,111111111
105984,-2.000000000000001,-1.2857142857142856,1.0,9.0,0.14285714285714285,0.16326530612244894,-3.2857142857142865,000000000
106496,-2.0000000000000018,-1.469387755102041,1.0,9.0,0.16326530612244894,0.16326530612244894,-3.4693877551020424,000000000
107008,-2.0000000000000004,-1.6530612244897958,1.0,9.0,0.18367346938775508,0.16326530612244894,-3.653061224489796,111111111
107520,-2.000000000000001,-1.8367346938775508,1.0,9.0,0.2040816326530612,0.16326530612244894,-3.836734693877552,000000000
108032,-2.0000000000000004,-2.020408163265306,1.0,9.0,0.22448979591836726,0.16326530612244894,-4.020408163265306,111111111
108544,-2.000000000000001,-2.204081632653061,1.0,9.0,0.24489795918367346,0.16326530612244894,-4.204081632653062,000000000
109056,-1.9999999999999991,-2.387755102040816,1.0,9.0,0.26530612244897955,0.16326530612244894,-4.387755102040814,111111111
109568,-2.0000000000000004,-2.5714285714285707,1.0,9.0,0.2857142857142857,0.16326530612244894,-4.571428571428571,111111111
110080,-1.9999999999999991,-2.7551020408163263,1.0,9.0,0.3061224489795918,0.16326530612244894,-4.755102040816325,111111111
110592,-2.0,-2.9387755102040813,1.0,9.0,0.32653061224489793,0.16326530612244894,-4.938775510204081,111111111
111104,-2.0,-3.122448979591837,1.0,9.0,0.3469387755102041,0.16326530612244894,-5.1224489795918355,111111111
111616,-2.0,-3.3061224489795915,1.0,9.0,0.36734693877551017,0.16326530612244894,-5.306122448979592,000000000
112128,-1.9999999999999996,-3.4897959183673466,1.0,9.0,0.3877551020408163,0.16326530612244894,-5.489795918367347,111111111
112640,-2.0000000000000004,-3.6734693877551017,1.0,9.0,0.4081632653061224,0.16326530612244894,-5.6734693877551035,111111111
113152,-2.0000000000000018,-3.8571428571428568,1.0,9.0,0.42857142857142855,0.16326530612244894,-5.8571428571428585,000000000
113664,-2.0000000000000004,-4.040816326530612,1.0,9.0,0.4489795918367345,0.16326530612244894,-6.040816326530613,111111111
114176,-2.0,-4.224489795918367,1.0,9.0,0.4693877551020408,0.16326530612244894,-6.224489795918367,000000000
114688,-2.000000000000001,-4.408163265306122,1.0,9.0,0.4897959183673469,0.16326530612244894,-6.408163265306122,000000000
115200,-2.0000000000000004,-4.591836734693878,1.0,9.0,0.5102040816326531,0.16326530612244894,-6.591836734693878,111111111
115712,-2.0,-4.775510204081632,1.0,9.0,0.5306122448979591,0.16326530612244894,-6.775510204081633,111111111
116224,-2.0000000000000004,-4.959183673469386,1.0,9.0,0.5510204081632653,0.16326530612244894,-6.959183673469387,111111111
116736,-2.000000000000001,-5.1428571428571415,1.0,9.0,0.5714285714285714,0.16326530612244894,-7.142857142857142,111111111
117248,-2.0000000000000013,-5.326530612244898,1.0,9.0,0.5918367346938775,0.16326530612244894,-7.3265306122449,111111111
117760,-2.0,-5.5102040816326525,1.0,9.0,0.6122448979591836,0.16326530612244894,-7.5102040816326525,111111111
118272,-2.0,-5.693877551020408,1.0,9.0,0.6326530612244897,0.16326530612244894,-7.693877551020408,111111111
118784,-2.0,-5.877551020408162,1.0,9.0,0.6530612244897959,0.16326530612244894,-7.877551020408162,000000000
119296,-2.000000000000001,-6.061224489795919,1.0,9.0,0.6734693877551021,0.16326530612244894,-8.061224489795919,000000000
119808,-2.0,-6.244897959183674,1.0,9.0,0.6938775510204082,0.16326530612244894,-8.244897959183675,111111111
120320,-2.0000000000000004,-6.428571428571428,1.0,9.0,0.7142857142857142,0.16326530612244894,-8.428571428571429,111111111
120832,-2.000000000000001,-6.612244897959182,1.0,9.0,0.7346938775510203,0.16326530612244894,-8.612244897959183,111111111
121344,-1.9999999999999996,-6.795918367346937,1.0,9.0,0.7551020408163265,0.16326530612244894,-8.795918367346937,111111111
121856,-2.000000000000001,-6.979591836734692,1.0,9.0,0.7755102040816326,0.16326530612244894,-8.979591836734695,111111111
