Delta,J,J_term,M^2,Ms^2,N,binary,ground,t
0.0,0.0,-0.0,1.0,0.0,6,111111,-1.3333333333333315,1
0.04081632653061224,0.0,-0.0,1.0,0.0,6,111111,-1.3349972294321144,1
0.08163265306122448,0.0,-0.0,1.0,0.0,6,111111,-1.339964246620875,1
0.12244897959183673,0.0,-0.0,1.0,0.0,6,111111,-1.3481621652445253,1
0.16326530612244897,0.0,-0.0,1.0,0.0,6,111111,-1.3594763023931413,1
0.2040816326530612,0.0,-0.0,1.0,0.0,6,111111,-1.3737570862686397,1
0.24489795918367346,0.0,-0.0,1.0,0.0,6,111111,-1.390829027601156,1
0.2857142857142857,0.0,-0.0,1.0,0.0,6,111111,-1.4104999691339655,1
0.32653061224489793,0.0,-0.0,1.0,0.0,6,111111,-1.4325696840836752,1
0.36734693877551017,0.0,-0.0,1.0,0.0,6,111111,-1.456837202488793,1
0.4081632653061224,0.0,-0.0,1.0,0.0,6,111111,-1.483106568091291,1
0.44897959183673464,0.0,-0.0,1.0,0.0,6,111111,-1.5111909960728414,1
0.4897959183673469,0.0,-0.0,1.0,0.0,6,111111,-1.5409155823900578,1
0.5306122448979591,0.0,-0.0,1.0,0.0,6,111111,-1.572118809903391,1
0.5714285714285714,0.0,-0.0,1.0,0.0,6,111111,-1.6046531239805797,1
0.6122448979591836,0.0,-0.0,1.0,0.0,6,111111,-1.6383848345942351,1
0.6530612244897959,0.0,-0.0,1.0,0.0,6,111111,-1.6731935639826754,1
0.6938775510204082,0.0,-0.0,1.0,0.0,6,111111,-1.7089714136214844,1
0.7346938775510203,0.0,-0.0,1.0,0.0,6,111111,-1.7456219805663569,1
0.7755102040816326,0.0,-0.0,1.0,0.0,6,111111,-1.7830593156141996,1
0.8163265306122448,0.0,-0.0,1.0,0.0,6,111111,-1.8212068856368306,1
0.8571428571428571,0.0,-0.0,1.0,0.0,6,111111,-1.859996579632538,1
0.8979591836734693,0.0,-0.0,1.0,0.0,6,111111,-1.8993677814964023,1
0.9387755102040816,0.0,-0.0,1.0,0.0,6,111111,-1.9392665209766087,1
0.9795918367346939,0.0,-0.0,1.0,0.0,6,111111,-1.9796447065594807,1
1.0204081632653061,0.0,-0.0,1.0,0.0,6,111111,-2.020459439086338,1
1.0612244897959182,0.0,-0.0,1.0,0.0,6,111111,-2.061672401936089,1
1.1020408163265305,0.0,-0.0,1.0,0.0,6,111111,-2.1032493219905084,1
1.1428571428571428,0.0,-0.0,1.0,0.0,6,111111,-2.1451594948819053,1
1.183673469387755,0.0,-0.0,1.0,0.0,6,111111,-2.1873753678827694,1
1.2244897959183672,0.0,-0.0,1.0,0.0,6,111111,-2.2298721740100595,1
1.2653061224489794,0.0,-0.0,1.0,0.0,6,111111,-2.2726276113309303,1
1.3061224489795917,0.0,-0.0,1.0,0.0,6,111111,-2.3156215619712763,1
1.346938775510204,0.0,-0.0,1.0,0.0,6,111111,-2.3588358458786662,1
