Delta,J,M^2,Ms^2,N,O^2,delta_E,energy0,energy1,h,identity,t
0.0,0.0,0.16768437266256186,0.16987009254354543,6,1.4588431842903007,0.0,0.0,0.0,0,0.16768427131961433,1
0.10526315789473684,0.0,0.15281873100492352,0.16393469513852463,6,2.111274924019695,-5.551115123125783e-17,-0.07017543859649127,-0.07017543859649132,0,0.1417931304459823,1
0.21052631578947367,0.0,0.16744379289211994,0.1764181882613546,6,2.1697751715684803,0.0,-0.1403508771929825,-0.1403508771929825,0,0.16163118003238305,1
0.3157894736842105,0.0,0.08117026370379098,0.11298159684655175,6,1.8246810548151644,-3.885780586188048e-16,-0.2105263157894738,-0.2105263157894742,0,0.08117025686311422,1
0.42105263157894735,0.0,0.12639707204562778,0.15459927000787724,6,2.0055882881825116,-7.216449660063518e-16,-0.28070175438596495,-0.2807017543859657,0,0.12600817915541768,1
0.5263157894736842,0.0,0.18992988518691056,0.13749467601392237,6,2.259719540747643,1.1102230246251565e-16,-0.3508771929824564,-0.3508771929824563,0,0.1858086602903919,1
0.631578947368421,0.0,0.13719666610698453,0.14529046712399277,6,2.048786664427939,5.551115123125783e-16,-0.421052631578948,-0.42105263157894746,0,0.13502958506032856,1
0.7368421052631579,0.0,0.20504391851680565,0.15536357567787648,6,2.320175674067226,-5.551115123125783e-17,-0.4912280701754393,-0.49122807017543935,0,0.20504002291521198,1
0.8421052631578947,0.0,0.18918138817163893,0.16345702745090412,6,2.256725552686557,-4.440892098500626e-16,-0.56140350877193,-0.5614035087719305,0,0.18891095508690922,1
0.9473684210526315,0.0,0.2001858741560771,0.1794375444084572,6,2.300743496624309,1.1102230246251565e-15,-0.6315789473684217,-0.6315789473684206,0,0.16701883565514763,1
1.0526315789473684,0.0,0.14797321738849722,0.13662184253580492,6,2.0918928695539925,5.551115123125783e-16,-0.7017543859649135,-0.7017543859649129,0,0.14745865325182836,1
1.1578947368421053,0.0,0.15848757714314718,0.31348424507255634,6,2.1339503085725884,-1.9984014443252818e-15,-0.7719298245614037,-0.7719298245614057,0,0.15596730010833496,1
1.263157894736842,0.0,0.11939518367945451,0.197371439865115,6,1.9775807347178187,1.1102230246251565e-16,-0.8421052631578949,-0.8421052631578948,0,0.11892669507667558,1
1.3684210526315788,0.0,0.14337390194989985,0.14689579943406583,6,2.0734956077996003,7.771561172376096e-16,-0.9122807017543865,-0.9122807017543857,0,0.14324323789306403,1
1.4736842105263157,0.0,0.1375607935302076,0.1577574781493146,6,2.0502431741208325,0.0,-0.9824561403508788,-0.9824561403508788,0,0.13075540987045697,1
1.5789473684210527,0.0,0.20012134364563935,0.1278727938973842,6,2.300485374582559,-2.220446049250313e-16,-1.052631578947369,-1.0526315789473693,0,0.19752837641737178,1
1.6842105263157894,0.0,0.1588771698535391,0.2334901276259241,6,2.135508679414157,-1.5543122344752192e-15,-1.1228070175438605,-1.122807017543862,0,0.14974417613258365,1
1.789473684210526,0.0,0.09245218641721749,0.16336532690383265,6,1.869808745668875,4.440892098500626e-16,-1.1929824561403537,-1.1929824561403533,0,0.09019304406948421,1
1.894736842105263,0.0,0.17891019540497208,0.14832405369552532,6,2.2156407816198938,1.3322676295501878e-15,-1.263157894736846,-1.2631578947368447,0,0.17637313495963197,1
2.0,0.0,0.15658658586343277,0.15632514085093077,6,2.126346343453735,2.886579864025407e-15,-1.333333333333337,-1.3333333333333341,0,0.15335738541524838,1
0.0,0.10526315789473684,0.9999999999999998,2.4391633762639808e-31,6,1.3242122745124703,9.71445146547012e-17,-0.10526315789473696,-0.10526315789473686,0,0.99615061380682,1
0.10526315789473684,0.10526315789473684,1.000000000000003,4.516884086804133e-32,6,4.500000000000015,1.1102230246251565e-16,-0.1660368704410136,-0.16603687044101348,0,0.9838528854376785,1
0.21052631578947367,0.10526315789473684,1.0000000000000016,1.0760293460007951e-31,6,4.500000000000007,8.326672684688674e-17,-0.22681058298729026,-0.22681058298729018,0,0.8848083093846303,1
0.3157894736842105,0.10526315789473684,1.0000000000000013,3.784428963413177e-31,6,4.500000000000008,3.3306690738754696e-16,-0.28758429553356635,-0.287584295533566,0,0.8797028317126553,1
0.42105263157894735,0.10526315789473684,1.0000000000000009,2.9170679470310768e-30,6,4.500000000000005,-7.771561172376096e-16,-0.34835800807984363,-0.3483580080798444,0,0.6703901508695124,1
0.5263157894736842,0.10526315789473684,1.0000000000000036,2.1472197515258324e-29,6,4.500000000000018,-4.440892098500626e-16,-0.40913172062611963,-0.4091317206261201,0,0.9641085291276774,1
0.631578947368421,0.10526315789473684,0.9999999999999999,1.7183912631654074e-29,6,4.500000000000001,-1.8318679906315083e-15,-0.4699054331723957,-0.4699054331723975,0,0.7882555430623053,1
0.7368421052631579,0.10526315789473684,0.9999999999999988,1.3231330266459059e-27,6,4.4999999999999964,-2.9976021664879227e-15,-0.5306791457186706,-0.5306791457186736,0,0.9973889497722644,1
0.8421052631578947,0.10526315789473684,0.30985652079515014,0.11111111111111129,6,2.7394260831806028,1.7763568394002505e-15,-0.5964912280701763,-0.5964912280701745,0,0.29628643214490197,1
0.9473684210526315,0.10526315789473684,0.3695022806155795,0.11111111111111137,6,2.9780091224623213,6.661338147750939e-16,-0.6666666666666675,-0.6666666666666669,0,0.28023578055092824,1
1.0526315789473684,0.10526315789473684,0.3366847856073392,0.11111111111111088,6,2.8467391424293536,-1.7763568394002505e-15,-0.7368421052631561,-0.7368421052631579,0,0.33046279855132416,1
1.1578947368421053,0.10526315789473684,0.32207632362440697,0.11111111111111159,6,2.788305294497634,-1.887379141862766e-15,-0.8070175438596532,-0.8070175438596551,0,0.3217296213475821,1
1.263157894736842,0.10526315789473684,0.35199886932310703,0.11111111111111176,6,2.9079954772924363,1.9984014443252818e-15,-0.8771929824561459,-0.8771929824561439,0,0.3029706391618866,1
1.3684210526315788,0.10526315789473684,0.36539609152051045,0.11111111111111172,6,2.9615843660820493,3.219646771412954e-15,-0.9473684210526376,-0.9473684210526344,0,0.3507269309933675,1
