Delta,E_N,J,J_term,M^2,Ms^2,N,binary,h,t
0.0,-0.6666666666666657,0.0,-0.0,1.0,0.0,6,111111,0,1
0.04081632653061224,-0.6674986147160572,0.0,-0.0,1.0,0.0,6,111111,0,1
0.08163265306122448,-0.6699821233104375,0.0,-0.0,1.0,0.0,6,111111,0,1
0.12244897959183673,-0.6740810826222626,0.0,-0.0,1.0,0.0,6,111111,0,1
0.16326530612244897,-0.6797381511965707,0.0,-0.0,1.0,0.0,6,111111,0,1
0.2040816326530612,-0.6868785431343198,0.0,-0.0,1.0,0.0,6,111111,0,1
0.24489795918367346,-0.695414513800578,0.0,-0.0,1.0,0.0,6,111111,0,1
0.2857142857142857,-0.7052499845669827,0.0,-0.0,1.0,0.0,6,111111,0,1
0.32653061224489793,-0.7162848420418376,0.0,-0.0,1.0,0.0,6,111111,0,1
0.36734693877551017,-0.7284186012443965,0.0,-0.0,1.0,0.0,6,111111,0,1
0.4081632653061224,-0.7415532840456455,0.0,-0.0,1.0,0.0,6,111111,0,1
0.44897959183673464,-0.7555954980364207,0.0,-0.0,1.0,0.0,6,111111,0,1
0.4897959183673469,-0.7704577911950289,0.0,-0.0,1.0,0.0,6,111111,0,1
0.5306122448979591,-0.7860594049516955,0.0,-0.0,1.0,0.0,6,111111,0,1
0.5714285714285714,-0.8023265619902898,0.0,-0.0,1.0,0.0,6,111111,0,1
0.6122448979591836,-0.8191924172971176,0.0,-0.0,1.0,0.0,6,111111,0,1
0.6530612244897959,-0.8365967819913377,0.0,-0.0,1.0,0.0,6,111111,0,1
0.6938775510204082,-0.8544857068107422,0.0,-0.0,1.0,0.0,6,111111,0,1
0.7346938775510203,-0.8728109902831784,0.0,-0.0,1.0,0.0,6,111111,0,1
0.7755102040816326,-0.8915296578070998,0.0,-0.0,1.0,0.0,6,111111,0,1
0.8163265306122448,-0.9106034428184153,0.0,-0.0,1.0,0.0,6,111111,0,1
0.8571428571428571,-0.929998289816269,0.0,-0.0,1.0,0.0,6,111111,0,1
0.8979591836734693,-0.9496838907482011,0.0,-0.0,1.0,0.0,6,111111,0,1
0.9387755102040816,-0.9696332604883043,0.0,-0.0,1.0,0.0,6,111111,0,1
0.9795918367346939,-0.9898223532797403,0.0,-0.0,1.0,0.0,6,111111,0,1
1.0204081632653061,-1.010229719543169,0.0,-0.0,1.0,0.0,6,111111,0,1
1.0612244897959182,-1.0308362009680445,0.0,-0.0,1.0,0.0,6,111111,0,1
1.1020408163265305,-1.0516246609952542,0.0,-0.0,1.0,0.0,6,111111,0,1
1.1428571428571428,-1.0725797474409526,0.0,-0.0,1.0,0.0,6,111111,0,1
1.183673469387755,-1.0936876839413847,0.0,-0.0,1.0,0.0,6,111111,0,1
1.2244897959183672,-1.1149360870050298,0.0,-0.0,1.0,0.0,6,111111,0,1
1.2653061224489794,-1.1363138056654651,0.0,-0.0,1.0,0.0,6,111111,0,1
1.3061224489795917,-1.1578107809856382,0.0,-0.0,1.0,0.0,6,111111,0,1
1.346938775510204,-1.1794179229393331,0.0,-0.0,1.0,0.0,6,111111,0,1
1.3877551020408163,-1.2011270024685812,0.0,-0.0,1.0,0.0,6,111111,0,1
1.4285714285714284,-1.2229305567747328,0.0,-0.0,1.0,0.0,6,111111,0,1
1.4693877551020407,-1.2448218061397913,0.0,-0.0,1.0,0.0,6,111111,0,1
1.510204081632653,-1.2667945807905687,0.0,-0.0,1.0,0.0,6,111111,0,1
1.5510204081632653,-1.2888432565108778,0.0,-0.0,1.0,0.0,6,111111,0,1
1.5918367346938773,-1.3109626978770064,0.0,-0.0,1.0,0.0,6,111111,0,1
1.6326530612244896,-1.3331482081408355,0.0,-0.0,1.0,0.0,6,111111,0,1
1.673469387755102,-1.3553954849149228,0.0,-0.0,1.0,0.0,6,111111,0,1
1.7142857142857142,-1.3777005809267269,0.0,-0.0,1.0,0.0,6,111111,0,1
1.7551020408163265,-1.400059869206978,0.0,-0.0,1.0,0.0,6,111111,0,1
1.7959183673469385,-1.422470012161633,0.0,-0.0,1.0,0.0,6,111111,0,1
1.8367346938775508,-1.4449279340499175,0.0,-0.0,1.0,0.0,6,111111,0,1
1.8775510204081631,-1.4674307964538336,0.0,-0.0,1.0,0.0,6,111111,0,1
1.9183673469387754,-1.4899759763788911,0.0,-0.0,1.0,0.0,6,111111,0,1
1.9591836734693877,-1.5125610466726371,0.0,-0.0,1.0,0.0,6,111111,0,1
2.0,-1.5351837584879944,0.0,-0.0,1.0,0.0,6,111111,0,1
0.0,-0.6870748299319719,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.04081632653061224,-0.6879067779813633,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.08163265306122448,-0.6903902865757436,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.12244897959183673,-0.6944892458875688,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.16326530612244897,-0.7001463144618768,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.2040816326530612,-0.707286706399626,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.24489795918367346,-0.7158226770658841,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.2857142857142857,-0.7256581478322889,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.32653061224489793,-0.7366930053071438,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.36734693877551017,-0.7488267645097026,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.4081632653061224,-0.7619614473109516,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.44897959183673464,-0.7760036613017268,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.4897959183673469,-0.790865954460335,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.5306122448979591,-0.8064675682170016,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.5714285714285714,-0.822734725255596,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.6122448979591836,-0.8396005805624237,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.6530612244897959,-0.8570049452566438,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
0.6938775510204082,-0.8748938700760484,0.02040816326530612,-0.02040816326530612,1.0,0.0,6,111111,0,1
