,ground_J=0,-J_term,M^2,N,J,Delta,Ms,ground,index
336128,-2.0000000000000004,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.040816326530612235,0.0,-4.122448979591837,11111111
336384,-2.0000000000000018,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.040816326530612235,0.0,-4.285714285714287,00000000
336640,-2.0,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.040816326530612235,0.0,-4.448979591836733,11111111
336896,-2.000000000000001,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.040816326530612235,0.0,-4.612244897959185,00000000
337152,-2.000000000000001,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.040816326530612235,0.0,-4.775510204081634,11111111
337408,-2.000000000000001,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.040816326530612235,0.0,-4.938775510204082,11111111
337664,-2.0,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.040816326530612235,0.0,-5.1020408163265305,11111111
337920,-2.0000000000000004,-3.2653061224489783,1.0,8.0,0.4081632653061224,0.040816326530612235,0.0,-5.2653061224489806,11111111
338176,-2.0000000000000004,-3.4285714285714284,1.0,8.0,0.42857142857142855,0.040816326530612235,0.0,-5.428571428571429,00000000
338432,-2.0000000000000013,-3.591836734693877,1.0,8.0,0.4489795918367345,0.040816326530612235,0.0,-5.591836734693878,11111111
338688,-2.000000000000001,-3.7551020408163263,1.0,8.0,0.4693877551020408,0.040816326530612235,0.0,-5.755102040816327,11111111
338944,-2.0000000000000004,-3.918367346938776,1.0,8.0,0.4897959183673469,0.040816326530612235,0.0,-5.918367346938775,11111111
339200,-2.0000000000000004,-4.081632653061225,1.0,8.0,0.5102040816326531,0.040816326530612235,0.0,-6.0816326530612255,11111111
339456,-2.000000000000001,-4.244897959183673,1.0,8.0,0.5306122448979591,0.040816326530612235,0.0,-6.244897959183674,11111111
339712,-2.0000000000000018,-4.408163265306122,1.0,8.0,0.5510204081632653,0.040816326530612235,0.0,-6.408163265306124,00000000
339968,-2.0000000000000004,-4.571428571428571,1.0,8.0,0.5714285714285714,0.040816326530612235,0.0,-6.571428571428571,11111111
340224,-2.0000000000000018,-4.7346938775510194,1.0,8.0,0.5918367346938775,0.040816326530612235,0.0,-6.734693877551023,00000000
340480,-2.0000000000000004,-4.897959183673469,1.0,8.0,0.6122448979591836,0.040816326530612235,0.0,-6.8979591836734695,11111111
340736,-2.0000000000000013,-5.061224489795918,1.0,8.0,0.6326530612244897,0.040816326530612235,0.0,-7.061224489795919,11111111
340992,-2.0000000000000013,-5.224489795918367,1.0,8.0,0.6530612244897959,0.040816326530612235,0.0,-7.224489795918367,11111111
341248,-2.0000000000000004,-5.387755102040817,1.0,8.0,0.6734693877551021,0.040816326530612235,0.0,-7.387755102040818,11111111
341504,-2.0000000000000004,-5.551020408163265,1.0,8.0,0.6938775510204082,0.040816326530612235,0.0,-7.551020408163266,11111111
341760,-2.0000000000000018,-5.7142857142857135,1.0,8.0,0.7142857142857142,0.040816326530612235,0.0,-7.714285714285714,11111111
342016,-2.0,-5.877551020408162,1.0,8.0,0.7346938775510203,0.040816326530612235,0.0,-7.877551020408162,11111111
342272,-2.0000000000000004,-6.040816326530613,1.0,8.0,0.7551020408163265,0.040816326530612235,0.0,-8.040816326530612,11111111
342528,-2.0000000000000027,-6.204081632653061,1.0,8.0,0.7755102040816326,0.040816326530612235,0.0,-8.204081632653066,00000000
342784,-2.0,-6.367346938775508,1.0,8.0,0.7959183673469387,0.040816326530612235,0.0,-8.367346938775508,11111111
343040,-2.0000000000000013,-6.530612244897957,1.0,8.0,0.8163265306122448,0.040816326530612235,0.0,-8.530612244897961,11111111
343296,-2.0000000000000018,-6.693877551020408,1.0,8.0,0.836734693877551,0.040816326530612235,0.0,-8.69387755102041,11111111
343552,-2.000000000000002,-6.857142857142858,1.0,8.0,0.8571428571428571,0.040816326530612235,0.0,-8.85714285714286,00000000
343808,-2.0000000000000004,-7.020408163265307,1.0,8.0,0.8775510204081632,0.040816326530612235,0.0,-9.020408163265307,00000000
344064,-2.000000000000001,-7.183673469387754,1.0,8.0,0.8979591836734693,0.040816326530612235,0.0,-9.183673469387756,00000000
344320,-2.0000000000000004,-7.3469387755102025,1.0,8.0,0.9183673469387754,0.040816326530612235,0.0,-9.346938775510203,11111111
344576,-2.0000000000000013,-7.5102040816326525,1.0,8.0,0.9387755102040816,0.040816326530612235,0.0,-9.510204081632654,00000000
344832,-2.0000000000000004,-7.6734693877551035,1.0,8.0,0.9591836734693876,0.040816326530612235,0.0,-9.673469387755102,11111111
345088,-2.0000000000000013,-7.83673469387755,1.0,8.0,0.979591836734694,0.040816326530612235,0.0,-9.836734693877553,11111111
345344,-2.0,-8.0,1.0,8.0,1.0,0.040816326530612235,0.0,-10.0,11111111
345600,-2.1632653061224487,0.0,0.0,8.0,0.0,0.08163265306122447,1.0,-2.1632653061224487,01010101
345856,-2.0000000000000013,-0.16326530612244894,1.0,8.0,0.020408163265306117,0.08163265306122447,0.0,-2.1632653061224505,00000000
346112,-2.000000000000001,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.08163265306122447,0.0,-2.3265306122448988,11111111
346368,-2.000000000000001,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.08163265306122447,0.0,-2.489795918367348,11111111
346624,-2.0000000000000013,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.08163265306122447,0.0,-2.6530612244897966,11111111
346880,-2.0000000000000013,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.08163265306122447,0.0,-2.8163265306122462,00000000
347136,-2.000000000000001,-0.979591836734694,1.0,8.0,0.12244897959183673,0.08163265306122447,0.0,-2.979591836734695,11111111
347392,-2.0000000000000013,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.08163265306122447,0.0,-3.1428571428571432,11111111
347648,-2.0000000000000004,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.08163265306122447,0.0,-3.3061224489795924,11111111
347904,-2.000000000000001,-1.469387755102041,1.0,8.0,0.18367346938775508,0.08163265306122447,0.0,-3.4693877551020416,00000000
348160,-2.0000000000000018,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.08163265306122447,0.0,-3.632653061224492,00000000
348416,-2.0000000000000004,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.08163265306122447,0.0,-3.795918367346939,00000000
348673,-2.0,-1.959183673469388,1.0,8.0,0.24489795918367346,0.08163265306122447,0.0,-3.959183673469388,11111111
348928,-2.0000000000000004,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.08163265306122447,0.0,-4.122448979591837,11111111
349184,-2.000000000000001,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.08163265306122447,0.0,-4.285714285714287,00000000
349440,-2.0000000000000004,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.08163265306122447,0.0,-4.448979591836736,00000000
349696,-2.0,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.08163265306122447,0.0,-4.612244897959183,11111111
349952,-2.000000000000002,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.08163265306122447,0.0,-4.775510204081635,00000000
350208,-2.0,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.08163265306122447,0.0,-4.938775510204081,00000000
350464,-2.0,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.08163265306122447,0.0,-5.1020408163265305,11111111
350720,-2.0000000000000018,-3.2653061224489783,1.0,8.0,0.4081632653061224,0.08163265306122447,0.0,-5.265306122448981,11111111
350976,-2.0,-3.4285714285714284,1.0,8.0,0.42857142857142855,0.08163265306122447,0.0,-5.428571428571429,11111111
351232,-2.0,-3.591836734693877,1.0,8.0,0.4489795918367345,0.08163265306122447,0.0,-5.591836734693876,11111111
351488,-2.0000000000000013,-3.7551020408163263,1.0,8.0,0.4693877551020408,0.08163265306122447,0.0,-5.755102040816327,11111111
351744,-2.0,-3.918367346938776,1.0,8.0,0.4897959183673469,0.08163265306122447,0.0,-5.918367346938775,11111111
352000,-2.0000000000000004,-4.081632653061225,1.0,8.0,0.5102040816326531,0.08163265306122447,0.0,-6.0816326530612255,11111111
352256,-2.0,-4.244897959183673,1.0,8.0,0.5306122448979591,0.08163265306122447,0.0,-6.244897959183673,11111111
352512,-2.0000000000000013,-4.408163265306122,1.0,8.0,0.5510204081632653,0.08163265306122447,0.0,-6.408163265306124,00000000
352768,-2.0,-4.571428571428571,1.0,8.0,0.5714285714285714,0.08163265306122447,0.0,-6.571428571428571,11111111
353024,-2.0,-4.7346938775510194,1.0,8.0,0.5918367346938775,0.08163265306122447,0.0,-6.7346938775510194,11111111
353280,-2.000000000000001,-4.897959183673469,1.0,8.0,0.6122448979591836,0.08163265306122447,0.0,-6.8979591836734695,00000000
353536,-2.000000000000001,-5.061224489795918,1.0,8.0,0.6326530612244897,0.08163265306122447,0.0,-7.061224489795919,11111111
353792,-2.0000000000000027,-5.224489795918367,1.0,8.0,0.6530612244897959,0.08163265306122447,0.0,-7.2244897959183705,00000000
354048,-2.0000000000000004,-5.387755102040817,1.0,8.0,0.6734693877551021,0.08163265306122447,0.0,-7.387755102040818,11111111
354304,-2.000000000000001,-5.551020408163265,1.0,8.0,0.6938775510204082,0.08163265306122447,0.0,-7.551020408163266,11111111
354560,-2.0000000000000004,-5.7142857142857135,1.0,8.0,0.7142857142857142,0.08163265306122447,0.0,-7.7142857142857135,11111111
354816,-2.0000000000000004,-5.877551020408162,1.0,8.0,0.7346938775510203,0.08163265306122447,0.0,-7.877551020408162,11111111
355072,-2.0000000000000004,-6.040816326530613,1.0,8.0,0.7551020408163265,0.08163265306122447,0.0,-8.040816326530612,11111111
355328,-2.0,-6.204081632653061,1.0,8.0,0.7755102040816326,0.08163265306122447,0.0,-8.204081632653061,11111111
355584,-2.0,-6.367346938775508,1.0,8.0,0.7959183673469387,0.08163265306122447,0.0,-8.367346938775508,11111111
355840,-2.0000000000000013,-6.530612244897957,1.0,8.0,0.8163265306122448,0.08163265306122447,0.0,-8.530612244897961,11111111
356096,-2.0000000000000004,-6.693877551020408,1.0,8.0,0.836734693877551,0.08163265306122447,0.0,-8.693877551020408,11111111
356352,-2.000000000000001,-6.857142857142858,1.0,8.0,0.8571428571428571,0.08163265306122447,0.0,-8.857142857142858,11111111
356608,-2.000000000000001,-7.020408163265307,1.0,8.0,0.8775510204081632,0.08163265306122447,0.0,-9.020408163265307,11111111
356864,-2.0000000000000018,-7.183673469387754,1.0,8.0,0.8979591836734693,0.08163265306122447,0.0,-9.183673469387756,11111111
357120,-2.0000000000000004,-7.3469387755102025,1.0,8.0,0.9183673469387754,0.08163265306122447,0.0,-9.346938775510203,11111111
357376,-2.0,-7.5102040816326525,1.0,8.0,0.9387755102040816,0.08163265306122447,0.0,-9.510204081632653,11111111
357632,-2.0000000000000004,-7.6734693877551035,1.0,8.0,0.9591836734693876,0.08163265306122447,0.0,-9.673469387755102,11111111
357888,-2.0000000000000027,-7.83673469387755,1.0,8.0,0.979591836734694,0.08163265306122447,0.0,-9.836734693877553,00000000
358144,-2.0000000000000013,-8.0,1.0,8.0,1.0,0.08163265306122447,0.0,-10.000000000000002,00000000
358400,-2.2448979591836737,0.0,0.0,8.0,0.0,0.12244897959183673,1.0,-2.2448979591836737,01010101
358656,-2.0000000000000013,-0.16326530612244894,1.0,8.0,0.020408163265306117,0.12244897959183673,0.0,-2.1632653061224505,00000000
358912,-2.0000000000000013,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.12244897959183673,0.0,-2.3265306122448988,11111111
359168,-2.0000000000000004,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.12244897959183673,0.0,-2.4897959183673475,00000000
359425,-2.0,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.12244897959183673,0.0,-2.653061224489796,11111111
359680,-2.0000000000000004,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.12244897959183673,0.0,-2.8163265306122454,11111111
359936,-2.000000000000001,-0.979591836734694,1.0,8.0,0.12244897959183673,0.12244897959183673,0.0,-2.979591836734695,11111111
360192,-2.0000000000000004,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.12244897959183673,0.0,-3.1428571428571432,11111111
360448,-2.0000000000000004,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.12244897959183673,0.0,-3.3061224489795924,00000000
360704,-2.000000000000001,-1.469387755102041,1.0,8.0,0.18367346938775508,0.12244897959183673,0.0,-3.4693877551020416,00000000
360960,-2.0000000000000004,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.12244897959183673,0.0,-3.6326530612244903,11111111
361216,-2.0,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.12244897959183673,0.0,-3.7959183673469385,11111111
361472,-2.0000000000000013,-1.959183673469388,1.0,8.0,0.24489795918367346,0.12244897959183673,0.0,-3.9591836734693886,11111111
361728,-2.000000000000001,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.12244897959183673,0.0,-4.122448979591837,00000000
361984,-2.0000000000000004,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.12244897959183673,0.0,-4.285714285714287,11111111
362240,-2.0000000000000004,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.12244897959183673,0.0,-4.448979591836736,00000000
362496,-2.0000000000000004,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.12244897959183673,0.0,-4.612244897959183,11111111
362752,-2.0000000000000004,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.12244897959183673,0.0,-4.775510204081633,11111111
363008,-2.0000000000000013,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.12244897959183673,0.0,-4.938775510204083,11111111
363264,-2.0000000000000018,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.12244897959183673,0.0,-5.102040816326532,00000000
363520,-2.0000000000000004,-3.2653061224489783,1.0,8.0,0.4081632653061224,0.12244897959183673,0.0,-5.2653061224489806,11111111
363776,-2.0000000000000013,-3.4285714285714284,1.0,8.0,0.42857142857142855,0.12244897959183673,0.0,-5.428571428571429,00000000
364032,-2.000000000000001,-3.591836734693877,1.0,8.0,0.4489795918367345,0.12244897959183673,0.0,-5.591836734693878,11111111
364288,-2.0,-3.7551020408163263,1.0,8.0,0.4693877551020408,0.12244897959183673,0.0,-5.755102040816326,11111111
364544,-2.0000000000000004,-3.918367346938776,1.0,8.0,0.4897959183673469,0.12244897959183673,0.0,-5.918367346938775,11111111
364800,-2.0000000000000004,-4.081632653061225,1.0,8.0,0.5102040816326531,0.12244897959183673,0.0,-6.0816326530612255,00000000
365056,-2.000000000000001,-4.244897959183673,1.0,8.0,0.5306122448979591,0.12244897959183673,0.0,-6.244897959183674,11111111
365312,-2.0,-4.408163265306122,1.0,8.0,0.5510204081632653,0.12244897959183673,0.0,-6.408163265306122,11111111
365568,-2.0,-4.571428571428571,1.0,8.0,0.5714285714285714,0.12244897959183673,0.0,-6.571428571428571,11111111
365824,-2.0000000000000013,-4.7346938775510194,1.0,8.0,0.5918367346938775,0.12244897959183673,0.0,-6.734693877551023,00000000
366080,-2.0000000000000004,-4.897959183673469,1.0,8.0,0.6122448979591836,0.12244897959183673,0.0,-6.8979591836734695,11111111
366336,-2.0,-5.061224489795918,1.0,8.0,0.6326530612244897,0.12244897959183673,0.0,-7.061224489795919,11111111
366592,-2.0000000000000004,-5.224489795918367,1.0,8.0,0.6530612244897959,0.12244897959183673,0.0,-7.224489795918367,11111111
366848,-2.0,-5.387755102040817,1.0,8.0,0.6734693877551021,0.12244897959183673,0.0,-7.387755102040817,11111111
367104,-2.0000000000000004,-5.551020408163265,1.0,8.0,0.6938775510204082,0.12244897959183673,0.0,-7.551020408163266,11111111
367360,-1.9999999999999996,-5.7142857142857135,1.0,8.0,0.7142857142857142,0.12244897959183673,0.0,-7.7142857142857135,11111111
367616,-2.0000000000000013,-5.877551020408162,1.0,8.0,0.7346938775510203,0.12244897959183673,0.0,-7.877551020408164,00000000
367872,-2.000000000000001,-6.040816326530613,1.0,8.0,0.7551020408163265,0.12244897959183673,0.0,-8.040816326530612,00000000
368128,-2.0,-6.204081632653061,1.0,8.0,0.7755102040816326,0.12244897959183673,0.0,-8.204081632653061,11111111
368384,-2.0000000000000013,-6.367346938775508,1.0,8.0,0.7959183673469387,0.12244897959183673,0.0,-8.36734693877551,00000000
368640,-2.000000000000002,-6.530612244897957,1.0,8.0,0.8163265306122448,0.12244897959183673,0.0,-8.530612244897961,00000000
368896,-2.0000000000000013,-6.693877551020408,1.0,8.0,0.836734693877551,0.12244897959183673,0.0,-8.693877551020408,11111111
369152,-2.000000000000001,-6.857142857142858,1.0,8.0,0.8571428571428571,0.12244897959183673,0.0,-8.857142857142858,11111111
369408,-2.0000000000000018,-7.020408163265307,1.0,8.0,0.8775510204081632,0.12244897959183673,0.0,-9.020408163265307,00000000
369664,-2.000000000000001,-7.183673469387754,1.0,8.0,0.8979591836734693,0.12244897959183673,0.0,-9.183673469387756,00000000
369920,-2.000000000000001,-7.3469387755102025,1.0,8.0,0.9183673469387754,0.12244897959183673,0.0,-9.346938775510203,11111111
370176,-2.0000000000000004,-7.5102040816326525,1.0,8.0,0.9387755102040816,0.12244897959183673,0.0,-9.510204081632653,11111111
370432,-2.0000000000000013,-7.6734693877551035,1.0,8.0,0.9591836734693876,0.12244897959183673,0.0,-9.673469387755103,00000000
370688,-2.0,-7.83673469387755,1.0,8.0,0.979591836734694,0.12244897959183673,0.0,-9.83673469387755,11111111
370944,-2.000000000000001,-8.0,1.0,8.0,1.0,0.12244897959183673,0.0,-10.0,11111111
371200,-2.3265306122448983,0.0,0.0,8.0,0.0,0.16326530612244894,1.0,-2.3265306122448983,01010101
371456,-2.197755394989903,-0.0,0.25,8.0,0.020408163265306117,0.16326530612244894,0.25,-2.197755394989903,01011111
371712,-2.0000000000000013,-0.32653061224489793,1.0,8.0,0.040816326530612235,0.16326530612244894,0.0,-2.3265306122448988,00000000
371968,-2.0,-0.4897959183673469,1.0,8.0,0.061224489795918366,0.16326530612244894,0.0,-2.489795918367347,11111111
372225,-2.0,-0.6530612244897959,1.0,8.0,0.08163265306122447,0.16326530612244894,0.0,-2.653061224489796,00000000
372480,-2.0000000000000013,-0.8163265306122448,1.0,8.0,0.1020408163265306,0.16326530612244894,0.0,-2.8163265306122462,00000000
372736,-2.0000000000000018,-0.979591836734694,1.0,8.0,0.12244897959183673,0.16326530612244894,0.0,-2.979591836734696,11111111
372992,-2.0000000000000004,-1.1428571428571428,1.0,8.0,0.14285714285714285,0.16326530612244894,0.0,-3.1428571428571432,11111111
373248,-2.000000000000001,-1.3061224489795915,1.0,8.0,0.16326530612244894,0.16326530612244894,0.0,-3.3061224489795924,11111111
373504,-2.0000000000000027,-1.469387755102041,1.0,8.0,0.18367346938775508,0.16326530612244894,0.0,-3.469387755102044,11111111
373760,-2.0,-1.6326530612244896,1.0,8.0,0.2040816326530612,0.16326530612244894,0.0,-3.6326530612244903,00000000
374016,-2.000000000000001,-1.7959183673469383,1.0,8.0,0.22448979591836726,0.16326530612244894,0.0,-3.795918367346939,00000000
374272,-2.0000000000000013,-1.959183673469388,1.0,8.0,0.24489795918367346,0.16326530612244894,0.0,-3.9591836734693886,11111111
374528,-2.0,-2.1224489795918364,1.0,8.0,0.26530612244897955,0.16326530612244894,0.0,-4.122448979591836,11111111
374784,-2.000000000000001,-2.2857142857142856,1.0,8.0,0.2857142857142857,0.16326530612244894,0.0,-4.285714285714287,11111111
375040,-2.0,-2.4489795918367343,1.0,8.0,0.3061224489795918,0.16326530612244894,0.0,-4.448979591836733,11111111
375296,-2.0000000000000018,-2.6122448979591835,1.0,8.0,0.32653061224489793,0.16326530612244894,0.0,-4.612244897959185,00000000
375552,-2.0,-2.7755102040816326,1.0,8.0,0.3469387755102041,0.16326530612244894,0.0,-4.775510204081632,11111111
375808,-2.0000000000000013,-2.9387755102040813,1.0,8.0,0.36734693877551017,0.16326530612244894,0.0,-4.938775510204083,11111111
376064,-2.0,-3.1020408163265305,1.0,8.0,0.3877551020408163,0.16326530612244894,0.0,-5.1020408163265305,11111111
