Delta,J,J_term,M^2,Ms^2,N,binary,ground,t
0.0,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.2839883449814082,1
0.04081632653061224,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.2865713143360027,1
0.08163265306122448,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.2941357984434625,1
0.12244897959183673,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.3062010589702993,1
0.16326530612244897,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.3221491516805368,1
0.2040816326530612,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.3413671352468293,1
0.24489795918367346,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.3633230141684884,1
0.2857142857142857,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.3875854818996929,1
0.32653061224489793,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.4138148368334966,1
0.36734693877551017,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.4417449102145252,1
0.4081632653061224,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.4711653698543257,1
0.44897959183673464,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.501907405723833,1
0.4897959183673469,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.5338330394690018,1
0.5306122448979591,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.5668274144426435,1
0.5714285714285714,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.6007933018992213,1
0.6122448979591836,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.6356471813628597,1
0.6530612244897959,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.6713164167009809,1
0.6938775510204082,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.7077371900374363,1
0.7346938775510203,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.7448529610559336,1
0.7755102040816326,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.7826132936318646,1
0.8163265306122448,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.8209729426658998,1
0.8571428571428571,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.8598911283438853,1
0.8979591836734693,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.8993309480541665,1
0.9387755102040816,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.9392588915745514,1
0.9795918367346939,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-1.9796444354430238,1
1.0204081632653061,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.020459699359774,1
1.0612244897959182,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.061679152170013,1
1.1020408163265305,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.103279358198859,1
1.1428571428571428,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.1452387569464544,1
1.183673469387755,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.187537470729479,1
1.2244897959183672,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.2301571359892134,1
1.2653061224489794,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.273080754818138,1
1.3061224489795917,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.31629256388064,1
1.346938775510204,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.359777918381396,1
1.3877551020408163,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.4035231891092788,1
1.4285714285714284,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.4475156708835715,1
1.4693877551020407,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.491743500972292,1
1.510204081632653,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.5361955862530388,1
1.5510204081632653,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.580861538054294,1
1.5918367346938773,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.625731613756714,1
1.6326530612244896,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.6707966643542704,1
1.673469387755102,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.716048087278201,1
1.7142857142857142,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.761477783875524,1
1.7551020408163265,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.807078121010306,1
1.7959183673469385,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.852841896322356,1
1.8367346938775508,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.898762306735491,1
1.8775510204081631,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.9448329198574896,1
1.9183673469387754,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-2.9910476479575467,1
1.9591836734693877,0.0,-0.0,1.0,0.02040816326530612,7,0000000,-3.0374007242447787,1
2.0,0.0,-0.0,1.0,0.02040816326530612,7,1111111,-3.0838866812045183,1
0.0,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.3043965082467144,1
0.04081632653061224,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.3069794776013088,1
0.08163265306122448,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.3145439617087686,1
0.12244897959183673,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.3266092222356054,1
0.16326530612244897,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.342557314945843,1
0.2040816326530612,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.3617752985121354,1
0.24489795918367346,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.3837311774337946,1
0.2857142857142857,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.407993645164999,1
0.32653061224489793,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.4342230000988028,1
0.36734693877551017,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.4621530734798314,1
0.4081632653061224,0.02040816326530612,-0.02040816326530612,1.0,0.02040816326530612,7,1111111,-1.4915735331196318,1
